sample,ent_coef,critic_loss,actor_loss
0,0.419,3.31,14.3
1,0.18,3.81,107.0
2,0.0808,3.4,181.0
3,0.0569,4.19,198.0
4,0.046,4.09,193.0
5,0.0468,3.43,227.0
6,0.0523,3.56,261.0
7,0.059,4.39,292.0
8,0.0618,4.4,308.0
9,0.0722,3.51,315.0
10,0.0806,3.81,326.0
11,0.0904,4.71,340.0
12,0.0954,3.34,335.0
13,0.122,3.97,303.0
14,0.25,3.58,201.0
15,0.585,4.68,-114.0
16,1.16,3.47,-846.0
17,1.84,3.68,-1730.0
18,2.83,3.79,-2800.0
19,3.16,3.24,-3670.0
20,3.63,3.76,-4500.0
21,4.24,4.5,-5280.0
22,4.27,3.22,-5700.0
23,4.1,4.57,-5910.0
24,4.75,4.19,-6020.0
25,4.0,2.46,-5860.0
26,4.27,3.42,-5790.0
27,4.27,4.43,-5460.0
28,4.58,3.62,-5410.0
29,4.39,3.28,-5360.0
30,5.22,3.85,-5450.0
31,4.62,4.36,-5440.0
32,4.64,3.64,-5410.0
33,4.67,3.13,-5560.0
34,4.2,3.67,-5350.0
35,4.5,4.04,-5170.0
36,4.31,4.01,-5300.0
37,3.9,2.99,-5180.0
38,4.05,3.56,-5060.0
39,3.45,3.16,-4830.0
40,3.14,3.1,-4550.0
41,3.01,3.72,-4520.0
42,3.09,4.46,-4630.0
43,2.91,3.7,-4550.0
44,2.67,2.25,-4460.0
45,2.88,3.57,-4320.0
46,2.24,3.46,-4380.0
47,2.42,2.94,-4240.0
48,2.23,3.98,-4350.0
49,2.19,3.75,-4210.0
50,2.1,3.93,-4090.0
51,2.02,3.65,-3900.0
52,2.15,2.96,-3860.0
53,2.06,3.27,-3690.0
54,1.84,3.3,-3590.0
55,1.72,3.55,-3340.0
56,1.72,3.5,-3110.0
57,1.56,2.98,-3010.0
58,1.6,4.35,-2940.0
59,1.54,3.05,-2680.0
60,1.4,3.68,-2400.0
61,1.28,3.49,-2090.0
62,1.29,3.64,-1790.0
63,1.06,3.96,-1370.0
64,0.846,3.48,-774.0
65,0.656,3.11,-296.0
66,0.6,3.85,-318.0
67,0.612,3.28,-352.0
68,0.545,3.9,-213.0
69,0.496,3.36,-132.0
70,0.456,3.69,11.3
71,0.437,3.33,175.0
72,0.406,3.97,256.0
73,0.356,4.19,276.0
74,0.33,3.19,257.0
75,0.313,3.8,234.0
76,0.287,3.72,230.0
77,0.282,3.75,232.0
78,0.275,3.92,230.0
79,0.288,3.23,233.0
80,0.279,4.13,246.0
81,0.304,2.73,250.0
82,0.299,2.74,241.0
83,0.264,3.66,235.0
84,0.276,3.95,242.0
85,0.271,3.75,247.0
86,0.265,2.82,252.0
87,0.281,4.63,255.0
88,0.278,4.35,260.0
89,0.298,3.94,270.0
90,0.267,3.79,333.0
91,0.22,3.3,283.0
92,0.256,3.79,274.0
93,0.224,3.46,275.0
94,0.236,3.55,267.0
95,0.243,3.51,264.0
96,0.263,3.98,247.0
97,0.222,3.7,238.0
98,0.206,2.77,250.0
99,0.197,3.93,257.0
100,0.192,4.23,265.0
101,0.2,3.21,271.0
102,0.208,3.29,284.0
103,0.208,2.7,286.0
104,0.214,3.67,282.0
105,0.215,2.89,294.0
106,0.231,3.79,299.0
107,0.227,3.14,308.0
108,0.275,4.32,273.0
109,0.671,3.18,-656.0
110,1.56,3.79,-1600.0
111,3.56,4.37,-2790.0
112,7.39,3.87,-3390.0
113,8.59,3.82,-3600.0
114,8.99,3.97,-3850.0
115,9.2,3.05,-4090.0
116,9.68,3.16,-4180.0
117,9.96,3.98,-4460.0
118,9.29,3.92,-4710.0
119,9.3,3.32,-4680.0
120,9.75,4.16,-4840.0
121,10.2,3.88,-5070.0
122,9.85,3.07,-5230.0
123,9.82,3.71,-5220.0
124,10.4,3.79,-5360.0
125,10.4,4.26,-5460.0
126,10.6,4.55,-5570.0
127,10.8,4.24,-5700.0
128,11.1,3.31,-5780.0
129,11.5,4.11,-5990.0
130,11.1,4.61,-5990.0
131,11.6,3.08,-6120.0
132,11.4,3.97,-6390.0
133,10.4,3.48,-6360.0
134,10.9,3.9,-6530.0
135,11.4,2.92,-6540.0
136,11.3,2.75,-6690.0
137,11.8,3.52,-6940.0
138,11.3,3.18,-6800.0
139,11.0,3.36,-6920.0
140,11.8,3.41,-7110.0
141,12.0,3.29,-6940.0
142,11.6,3.45,-6940.0
143,11.7,3.83,-6920.0
