tag,controller_type,solver_requested,solver_used,solver_status,eval_design,eval_design_description,building_file,evaluation_flag,ITE_Set,reward_cls,action_dim,obs_dim,steps,max_steps,horizon_hours,terminal_soc_target,total_reward,comfort,comfort_violation_pct,guard,tes_guard_clipped_pct,charge_window_sign_rate,low_price_discharge_fraction,charge_window_valve_mean,discharge_window_valve_mean,delta_soc_prepeak,delta_soc_peak,soc_daily_amplitude_mean,cost_usd,pue,total_facility_MWh,total_ite_MWh,energy_unit_detected,tes_annual_cycles_rough,soc_min,soc_mean,soc_max,valve_mean_abs,valve_active_fraction,valve_saturation_fraction,charge_fraction,discharge_fraction,monitor_csv,elapsed_seconds,gate_pass,switch_penalty,terminal_soc_weight,controller_family,controller_type_detail,soc_bound_penalty,soc_below_guard_count,soc_above_guard_count,actual_soc_bound_violation_count,actual_soc_bound_violation_fraction,actual_soc_bound_violation_first_step,soc_hi_slack_sum,soc_hi_slack_max,soc_hi_slack_first_step,soc_lo_slack_sum,soc_lo_slack_max,soc_lo_slack_first_step,terminal_abs_slack,predicted_soc_1,predicted_soc_n,predicted_soc_min,predicted_soc_max,soc_schedule_weight,low_price_discharge_penalty,high_price_charge_penalty,low_prepeak_charge_reward,high_price_discharge_reward,raw_low_price_discharge_fraction,economic_low_price_discharge_fraction_excluding_safety_recovery,raw_charge_window_valve_mean,economic_charge_window_valve_mean_excluding_safety_recovery,initial_out_of_bounds,soc_recovery_steps,soc_violation_excluding_initial_recovery,mechanism_gate_pass,physical_bound_gate_pass,soc_planning_min,soc_planning_max,soc_safety_margin,forecast_noise_mode,forecast_noise_sigma,forecast_noise_seed,forecast_noise_persist_h
m2f1_mpc_oracle_96,mpc_oracle,heuristic,heuristic,heuristic,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,96,96,24.0,0.5,-158.7449846129754,1.0416666666666663,1.0416666666666663,0.0,0.0,,0.0,0.0,0.8060937710106373,,0.0942767262458801,0.2734482884407043,17826.904807913274,1.187393876829851,192.3903241157532,162.02738440036774,MWh,8.711238492122718,0.7265517115592957,0.9066510094950596,1.0,0.3628645949065685,0.625,0.0,0.0,0.625,runs\m2_tes_mpc_oracle\m2f1_mpc_oracle_96\monitor.csv,129.89592039998388,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2f1_mpc_oracle_672,mpc_oracle,heuristic,heuristic,heuristic,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,672,672,24.0,0.5,-809.0592524496853,0.8928571428571428,0.8928571428571428,0.0,0.0,1.0,0.0,-0.544642869915281,0.5251785814762115,0.2503042936325073,-0.1765717445657803,0.570915947003024,129267.7231119693,1.259570426452626,1428.863313913345,1134.4052574634552,MWh,54.032309941828245,0.1112805530428886,0.6282805813742536,1.0,0.3215290270745754,0.5565476190476191,0.0,0.1726190476190476,0.3839285714285714,runs\m2_tes_mpc_oracle\m2f1_mpc_oracle_672\monitor.csv,80.61832660000073,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2f1_mpc_lite_672,mpc_lite,heuristic,heuristic,heuristic,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,672,672,24.0,0.5,-809.0592524496853,0.8928571428571428,0.8928571428571428,0.0,0.0,1.0,0.0,-0.544642869915281,0.5251785814762115,0.2503042936325073,-0.1765717445657803,0.570915947003024,129267.7231119693,1.259570426452626,1428.863313913345,1134.4052574634552,MWh,54.032309941828245,0.1112805530428886,0.6282805813742536,1.0,0.3215290270745754,0.5565476190476191,0.0,0.1726190476190476,0.3839285714285714,runs\m2_mpc_lite\m2f1_mpc_lite_672\monitor.csv,80.93290509999497,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2f1_mpc_optimizer_96,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,96,96,24.0,0.5,-168.9849079387669,1.0416666666666663,1.0416666666666663,0.0,0.0,0.0,0.2222222222222222,0.0571835953742265,0.837526174262166,,-0.0020402669906616,0.1636508107185363,16983.176828588043,1.1514395772137962,186.39279794693,161.8780539035797,MWh,10.2864497130915,0.8363491892814636,0.9587757910291352,1.0,0.4284796486220633,0.6666666666666666,0.0,0.0729166666666666,0.59375,runs\m2_mpc_lite\m2f1_mpc_optimizer_96\monitor.csv,129.5201952999996,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2f1_mpc_optimizer_672,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,672,672,24.0,0.5,-826.3778556150534,2.5297619047619047,2.5297619047619047,0.0,0.0,0.3972602739726027,0.3373015873015873,-0.0490348622025478,0.668614434477474,0.0425120651721954,-0.3188614398241043,0.5860697914447103,127706.65282978612,1.2501248755354009,1418.510175228119,1134.6947836875916,MWh,93.51513794130094,0.077297143638134,0.6997722109025788,1.0,0.5564837890436009,0.9241071428571428,0.0,0.375,0.5491071428571429,runs\m2_mpc_lite\m2f1_mpc_optimizer_672\monitor.csv,137.91520409999976,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2f1_mpc_optimizer_96_fix,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,96,96,24.0,0.5,-160.43601942025663,1.0416666666666663,1.0416666666666663,0.0,0.0,,0.0,0.0,0.8092076070606709,,-0.0152525305747985,0.2169349789619445,17822.8230074206,1.1875662181248108,192.3607811927796,161.97899389266968,MWh,10.321715260122504,0.7830650210380554,0.927701878050963,1.0,0.4300474015374978,0.6145833333333334,0.0,0.0416666666666666,0.5729166666666666,runs\m2_mpc_lite\m2f1_mpc_optimizer_96_fix\monitor.csv,129.72522170000047,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,0.0,61.0,61.0,0.6354166666666666,0.0,0.0,0.0,,0.0,0.0,,0.2520551608594077,1.0,0.2479448391405923,0.0999999999999978,1.0,6.0,200.0,200.0,8.0,6.0,,,,,,,,,,,,,,,,
m2f1_mpc_optimizer_672_fix,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,672,672,24.0,0.5,-812.636569937465,1.1904761904761905,1.1904761904761905,0.0,0.0,0.9642857142857144,0.0,-0.4464344986315284,0.6157729527913034,0.2156720757484436,-0.3617199624960239,0.5837972089648247,131154.99777331756,1.2794086553115236,1451.8462145328522,1134.7791094779968,MWh,74.38619038837018,0.0662147998809814,0.6350525875376272,1.0,0.4426702050508798,0.7038690476190477,0.0,0.3050595238095238,0.3988095238095238,runs\m2_mpc_lite\m2f1_mpc_optimizer_672_fix\monitor.csv,139.41936170000008,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,18.0,112.0,130.0,0.1934523809523809,0.0,0.0,0.0,,0.1309934048505265,0.0043664468283508,361.0,0.2520551608594068,1.0,0.2479448391405931,0.0662147998809814,1.0,6.0,200.0,200.0,8.0,6.0,,,,,,,,,,,,,,,,
m2f1_mpc_optimizer_96_safetyfix,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,96,96,24.0,0.5,-153.95531678081753,1.0416666666666663,1.0416666666666663,0.0,0.0,,1.0,0.2708333333333333,0.8243227172642946,,0.007322072982788,0.2421017289161682,16929.989709682686,1.1508463925358736,186.31415557861328,161.89315688610077,MWh,12.923221510952072,0.7578982710838318,0.9294924524923166,1.0,0.5383137590251863,1.0,0.0,0.0625,0.9375,runs\m2_mpc_lite\m2f1_mpc_optimizer_96_safetyfix\monitor.csv,129.98101119999956,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,0.0,53.0,53.0,0.5520833333333334,0.0,91.55919777750395,0.1390838855317273,0.0,0.0,0.0,,0.1914161672878631,0.9890838855317272,0.3085838327121368,0.1499999999999979,0.9890838855317272,6.0,200.0,200.0,8.0,6.0,1.0,,0.2708333333333333,,True,53.0,0.0,False,False,0.15,0.85,0.02,,,,
m2f1_mpc_optimizer_672_safetyfix,mpc_lite,scipy-highs,scipy-highs,requested scipy-highs rolling LP optimizer,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,672,672,24.0,0.5,-759.3209767779745,1.488095238095238,1.488095238095238,0.0,0.0,0.9772727272727272,0.1428571428571428,-0.3478007595099154,0.6003221634309739,0.1761416673660278,-0.3239783627482561,0.5627121329307556,129325.60298083168,1.2683501169535567,1438.962572813034,1134.5152679681778,MWh,77.87494071705427,0.0661085098981857,0.642933842038647,1.0,0.4634285847700777,0.7455357142857143,0.0,0.3095238095238095,0.4360119047619047,runs\m2_mpc_lite\m2f1_mpc_optimizer_672_safetyfix\monitor.csv,141.00793890000023,False,0.0,1.0,mpc_lite,mpc_lite_optimizer_scipy_highs_tes_only,1000.0,6.0,53.0,59.0,0.087797619047619,0.0,101.82568702455768,0.1390838855317273,0.0,6.204414560773028,0.0755089978096331,362.0,0.1914161672878629,0.9890838855317272,0.3085838327121371,0.0744910021903668,0.9890838855317272,6.0,200.0,200.0,8.0,6.0,0.1428571428571428,0.0,-0.3478007595099154,-0.470160930253127,True,53.0,6.0,True,False,0.15,0.85,0.02,,,,
dryrun_w2_milp_96_20260503_231122,mpc_oracle,milp,milp,optimal,trainlike,M2-F1 in-distribution evaluation using the training load level.,DRL_DC_training.epJSON,0,0.45,rl_cost,4,32,96,96,24.0,0.5,-153.96186897263095,1.0416666666666663,1.0416666666666663,0.0,0.0,,1.0,0.2708333333333333,0.8243454284965992,,0.0073198080062866,0.2421017289161682,16929.985148334188,1.150846262282387,186.3141007423401,161.89312756061554,MWh,12.932860349599803,0.7578982710838318,0.9295136388391256,1.0,0.5387152625868717,1.0,0.0,0.0625,0.9375,runs\m2_tes_mpc_oracle\dryrun_w2_milp_96_20260503_231122\monitor.csv,189.87025940000603,False,0.0,1.0,mpc_oracle,mpc_oracle_physical_reachable_baseline,1000.0,0.0,53.0,53.0,0.5520833333333334,0.0,91.66279090444374,0.1390838855317273,0.0,0.0,0.0,,0.1914161672878633,0.9890838855317272,0.3085838327121366,0.1499999999999983,0.9890838855317272,6.0,200.0,200.0,8.0,6.0,1.0,,0.2708333333333333,,True,53.0,0.0,False,False,0.15,0.85,0.02,perfect,0.1,0.0,1.0
