monitor_csv,monitor_index,window_id,window_type,window_start_index,window_start_timestep,row_index,row_offset_from_window_start,timestep,in_core_window,reward,cost_term,energy_term,comfort_term,tes_pbrs_term,tes_teacher_term,tes_tou_alignment_term,tes_valve_penalty,tes_invalid_action_penalty,tes_shaping_total,TES_SOC,tes_valve_target,raw_tes_action,TES_valve_wrapper_position,price_current_norm,price_hours_to_next_peak_norm,raw_tes_action_column,actual_valve_column
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,297,-8,298.0,False,-0.6250284440264278,-0.1025270527784801,-0.5225013912479477,0.0,,,,,,,0.68214804,0.3886253833770752,0.3886253833770752,0.38862538,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,298,-7,299.0,False,-0.6259782349734854,-0.1026814042040739,-0.5232968307694114,0.0,,,,,,,0.6890178,0.6647759675979614,0.6647759675979614,0.6386254,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,299,-6,300.0,False,-0.6262815584914683,-0.1027245140315308,-0.5235570444599373,0.0,,,,,,,0.7033626,0.2280071973800659,0.2280071973800659,0.38862538,-1.0,0.6,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,300,-5,301.0,False,-0.6262770520982275,-0.1027123813890668,-0.5235646707091607,0.0,,,,,,,0.72412235,0.6080641746520996,0.6080641746520996,0.6080642,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,301,-4,302.0,False,-0.6257534568192866,-0.1026123225499674,-0.5231411342693192,0.0,,,,,,,0.74702704,-0.110174536705017,-0.110174536705017,0.35806417,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,302,-3,303.0,False,-0.6251987031260862,-0.1025070718029201,-0.5226916313231661,0.0,,,,,,,0.7675636,0.3876616954803467,0.3876616954803467,0.3876617,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,303,-2,304.0,False,-0.6247675066738598,-0.102424104089657,-0.5223434025842028,0.0,,,,,,,0.7833167,0.363506555557251,0.363506555557251,0.36350656,-1.0,0.5,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,304,-1,305.0,False,-0.6249900534123805,-0.1024512456841016,-0.5225388077282788,0.0,,,,,,,0.7940688,0.4171853065490722,0.4171853065490722,0.4171853,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,305,0,306.0,True,-0.6250426553349168,-0.1024527582755991,-0.5225898970593177,0.0,,,,,,,0.8023586,0.1464651823043823,0.1464651823043823,0.1671853,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,306,1,307.0,True,-0.6245343537612691,-0.1023630589913956,-0.5221712947698735,0.0,,,,,,,0.8110459,0.4556528329849243,0.4556528329849243,0.4171853,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,307,2,308.0,True,-0.6240935221837518,-0.1022844937300272,-0.5218090284537246,0.0,,,,,,,0.8201611,0.0766091346740722,0.0766091346740722,0.1671853,-1.0,0.4,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,308,3,309.0,True,-0.6237716422073905,-0.1022257979701748,-0.5215458442372156,0.0,,,,,,,0.82839024,0.4132020473480224,0.4132020473480224,0.41320205,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,309,4,310.0,True,-0.6234233183266519,-0.1021634966412393,-0.5212598216854125,0.0,,,,,,,0.83526164,0.1961722373962402,0.1961722373962402,0.19617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,310,5,311.0,True,-0.6231488341516964,-0.1021142004503551,-0.5210346337013413,0.0,,,,,,,0.8406776,0.4832847118377685,0.4832847118377685,0.44617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,311,6,312.0,True,-0.6228710870095802,-0.1020651961628742,-0.5208058908467059,0.0,,,,,,,0.8449917,0.147718071937561,0.147718071937561,0.19617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,312,7,313.0,True,-0.6236651886502294,-0.1021924562040906,-0.5214727324461387,0.0,,,,,,,0.8485769,0.519397497177124,0.519397497177124,0.44617224,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_1,low_price_charge_prepeak,305,306.0,313,8,314.0,True,-0.6274037498748684,-0.10224740528882,-0.521767771456145,0.0,,,,,,,0.85163486,0.4483299255371094,0.4483299255371094,0.44832993,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,308,-8,309.0,False,-0.6237716422073905,-0.1022257979701748,-0.5215458442372156,0.0,,,,,,,0.82839024,0.4132020473480224,0.4132020473480224,0.41320205,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,309,-7,310.0,False,-0.6234233183266519,-0.1021634966412393,-0.5212598216854125,0.0,,,,,,,0.83526164,0.1961722373962402,0.1961722373962402,0.19617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,310,-6,311.0,False,-0.6231488341516964,-0.1021142004503551,-0.5210346337013413,0.0,,,,,,,0.8406776,0.4832847118377685,0.4832847118377685,0.44617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,311,-5,312.0,False,-0.6228710870095802,-0.1020651961628742,-0.5208058908467059,0.0,,,,,,,0.8449917,0.147718071937561,0.147718071937561,0.19617224,-1.0,0.3,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,312,-4,313.0,False,-0.6236651886502294,-0.1021924562040906,-0.5214727324461387,0.0,,,,,,,0.8485769,0.519397497177124,0.519397497177124,0.44617224,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
runs\train\run-218\episode-001\monitor.csv,1,m1_low_price_charge_2,low_price_charge_prepeak,316,317.0,313,-3,314.0,False,-0.6274037498748684,-0.10224740528882,-0.521767771456145,0.0,,,,,,,0.85163486,0.4483299255371094,0.4483299255371094,0.44832993,-1.0,0.2,tes_valve_target,TES_valve_wrapper_position
