cell_id,tag,noise_mode,sigma,seed,persist_h,sign_rate,dsoc_prepeak,dsoc_peak,pue,cost_usd,mode_switches,mechanism_gate_pass,solver_status
1,w1_3_perfect_20260503_194137,perfect,,0,,1.0,0.18513166904449463,-0.3245551041685618,1.2629088945564886,128955.64088344533,61,True,optimal
2,w1_3_gauss_s05_seed1_20260503_194137,gaussian,0.05,1,,0.9777777777777777,0.17813178300857543,-0.34809596034196705,1.2628519824406192,129311.28740474046,61,True,optimal
3,w1_3_gauss_s05_seed2_20260503_194137,gaussian,0.05,2,,0.9777777777777777,0.18167707920074463,-0.32008616855511296,1.2630857063167897,128973.46554384724,60,True,optimal
4,w1_3_gauss_s05_seed3_20260503_194137,gaussian,0.05,3,,1.0,0.18513166904449463,-0.3245551041685618,1.2629088945564886,128955.64088344533,60,True,optimal
5,w1_3_gauss_s10_seed1_20260503_194137,gaussian,0.1,1,,0.9743589743589743,0.1472030758857727,-0.31395862423456633,1.253163096012508,127934.42344190825,58,True,optimal
6,w1_3_gauss_s10_seed2_20260503_194137,gaussian,0.1,2,,1.0,0.16027928590774537,-0.31593733854018724,1.256726950896958,128226.59397159272,67,True,optimal
7,w1_3_gauss_s10_seed3_20260503_194137,gaussian,0.1,3,,0.9736842105263158,0.18939508497714996,-0.3076810773748618,1.2534175258815203,127871.67101780896,61,True,milp_to_heuristic_fallback
8,w1_3_gauss_s20_seed1_20260503_194137,gaussian,0.2,1,,0.9782608695652174,0.18150110244750978,-0.3264740900351451,1.2584025432035935,128737.9149004309,77,True,milp_to_heuristic_fallback
9,w1_3_gauss_s20_seed2_20260503_194137,gaussian,0.2,2,,0.9545454545454546,0.17344553470611573,-0.3515219814502276,1.273101830642649,129928.20423252617,66,True,milp_to_heuristic_fallback
10,w1_3_gauss_s20_seed3_20260503_194137,gaussian,0.2,3,,0.7818181818181819,0.1459544599056244,-0.31495998283991444,1.2588480245954303,128413.0759600162,63,False,milp_to_heuristic_fallback
11,w1_3_persist_h1_20260503_194137,persistence_h,,0,1.0,0.9574468085106383,0.1827267050743103,-0.23454341292381287,1.2562531815719187,128732.59847544681,92,True,milp_to_heuristic_fallback
12,w1_3_persist_h4_20260503_194137,persistence_h,,0,4.0,0.9714285714285714,0.12303639650344848,-0.19309825965991387,1.2611681827779588,129471.68609329869,78,True,milp_to_heuristic_fallback
13,w1_3_persist_h12_20260503_194137,persistence_h,,0,12.0,0.9722222222222222,0.12620115280151367,-0.19358273710195834,1.2614910464112568,129418.01089472252,81,True,milp_to_heuristic_fallback
