hour,month,outdoor_temp_C,indoor_temp_C,humidity_pct,power_facility_kW,power_ite_kW,power_cooling_kW,pue,fan_flow_kgs,chiller_t_C,crah_supply_C,crah_return_C,ct_pump_kgs,ite_utilization,reward
1,1.0,0.2,19.92,16.57,16906.98,14972.42,1934.55,1.1292,1900.0,5.6,11.0,19.66,3159.0,1.0,0.0
2,1.0,-2.0,20.43,16.06,16421.36,14979.04,1442.32,1.0963,1975.9,6.1,11.5,20.43,3258.9,0.3577,-0.5481
3,1.0,-0.9,17.72,19.44,6296.62,5361.58,935.04,1.1744,1876.0,6.59,14.61,15.3,3259.0,0.3605,-0.7293
4,1.0,-4.0,20.22,16.26,5792.15,5429.91,362.24,1.0667,1776.4,7.09,16.98,20.01,0.0,0.3669,-0.5334
5,1.0,-6.0,16.31,20.78,7579.01,5547.83,2031.18,1.3661,1734.7,7.59,13.0,16.31,100.0,0.3685,-1.5278
6,1.0,-3.3,16.85,20.52,7671.22,5536.89,2134.33,1.3855,1634.9,7.09,13.5,16.85,200.1,0.3853,-1.2658
7,1.0,-6.0,17.74,18.98,7705.86,5793.43,1912.43,1.3301,1535.5,6.59,14.0,17.74,300.1,0.4102,-0.7972
8,1.0,-5.0,18.75,17.81,7615.46,6172.98,1442.48,1.2337,1437.9,6.11,14.5,18.75,399.5,0.4199,-0.6168
9,1.0,-3.2,19.66,17.22,7698.66,6324.91,1373.75,1.2172,1343.2,6.02,15.0,19.66,488.5,0.4272,-0.6086
10,1.0,-1.0,20.59,15.88,7432.43,6438.59,993.84,1.1544,1251.9,6.45,15.5,20.59,535.6,0.4292,-0.5772
11,1.0,3.0,21.52,15.0,6728.2,6474.74,253.47,1.0391,1161.5,6.94,16.0,21.52,533.6,0.4403,-0.5196
12,1.0,3.4,22.36,14.58,6881.34,6646.94,234.4,1.0353,1121.2,7.44,16.49,22.36,469.5,0.4373,-0.5176
13,1.0,3.8,22.82,13.86,6827.28,6606.26,221.02,1.0335,1093.9,7.94,16.83,22.81,414.8,0.432,-0.5167
14,1.0,5.0,22.93,13.76,6746.31,6530.67,215.64,1.033,1059.3,8.43,16.82,22.82,379.4,0.4322,-0.5165
15,1.0,5.5,23.23,13.79,6746.66,6533.71,212.95,1.0326,1006.3,8.89,16.8,23.23,355.2,0.4296,-0.5163
16,1.0,5.4,23.51,13.28,6705.0,6493.35,211.65,1.0326,950.1,9.31,16.74,23.23,357.7,0.4297,-0.5163
17,1.0,4.1,23.92,12.96,6702.43,6494.29,208.14,1.032,886.3,9.67,16.66,23.92,359.3,0.4239,-0.516
18,1.0,4.2,24.29,12.92,6617.46,6406.34,211.12,1.033,824.5,9.94,16.6,24.29,381.0,0.4111,-0.5165
19,1.0,2.3,24.61,12.43,6421.67,6211.48,210.19,1.0338,769.5,9.94,16.62,24.61,383.3,0.4028,-0.5169
20,1.0,1.4,24.8,12.28,6297.4,6087.12,210.29,1.0345,738.7,9.94,16.65,24.61,396.0,0.3996,-0.5173
21,1.0,-0.4,25.09,12.32,6244.22,6038.44,205.77,1.0341,707.4,9.94,16.65,24.8,399.4,0.3821,-0.517
22,1.0,-2.0,25.08,12.08,5978.95,5773.87,205.09,1.0355,674.3,9.94,16.61,25.09,400.8,0.3808,-0.5178
23,1.0,-3.0,25.52,11.77,5960.89,5754.87,206.02,1.0358,637.6,9.92,16.59,25.51,411.7,0.3919,-0.5179
