hour,month,outdoor_temp_C,indoor_temp_C,humidity_pct,power_facility_kW,power_ite_kW,power_cooling_kW,pue,fan_flow_kgs,chiller_t_C,crah_supply_C,crah_return_C,ct_pump_kgs,ite_utilization,reward
1,1.0,0.2,19.92,16.57,16906.98,14972.42,1934.55,1.1292,1900.0,5.6,11.0,19.66,3159.0,1.0,0.0
2,1.0,-2.0,20.43,16.06,16634.74,14979.04,1655.7,1.1105,1800.0,5.82,11.5,20.43,3256.6,0.3577,-0.5553
3,1.0,-0.9,15.18,22.85,6534.71,5361.58,1173.13,1.2188,1705.4,5.68,11.97,15.18,3259.0,0.3605,-2.0216
4,1.0,-4.0,18.59,18.0,6139.13,5407.53,731.6,1.1353,1665.9,6.17,15.41,15.74,3259.0,0.3669,-0.5676
5,1.0,-6.0,16.22,20.89,6352.49,5534.2,818.29,1.1479,1664.7,6.25,12.95,16.3,3259.0,0.3685,-1.4616
6,1.0,-3.3,21.57,15.29,5930.81,5536.47,394.34,1.0712,1702.8,6.7,18.27,21.45,0.0,0.3853,-0.5356
7,1.0,-6.0,17.54,19.2,7440.1,5836.71,1603.39,1.2747,1604.2,7.03,13.94,17.54,211.6,0.4102,-0.865
8,1.0,-5.0,18.5,18.08,7387.74,6172.39,1215.35,1.1969,1504.3,7.53,14.44,18.5,303.7,0.4199,-0.5985
9,1.0,-3.2,19.39,17.51,6845.45,6324.3,521.15,1.0824,1404.4,8.03,14.94,19.4,336.6,0.4272,-0.5412
10,1.0,-1.0,20.32,16.15,6647.58,6437.97,209.61,1.0326,1304.6,8.53,15.43,20.32,349.6,0.4292,-0.5163
11,1.0,3.0,21.24,15.26,6682.21,6474.06,208.15,1.0322,1204.8,9.02,15.92,21.24,348.1,0.4403,-0.5161
12,1.0,3.4,22.3,14.63,6850.52,6646.07,204.45,1.0308,1105.2,9.52,16.35,22.3,343.1,0.4373,-0.5154
13,1.0,3.8,23.09,13.62,6805.31,6604.77,200.55,1.0304,1006.7,10.0,16.6,23.1,332.9,0.432,-0.5152
14,1.0,5.0,23.84,13.02,6728.17,6528.28,199.89,1.0306,908.3,10.0,16.72,23.84,323.1,0.4322,-0.5153
15,1.0,5.5,24.71,12.61,6734.06,6532.71,201.36,1.0308,811.1,10.0,16.74,24.72,313.7,0.4296,-0.5154
16,1.0,5.4,25.15,12.03,6689.37,6492.73,196.64,1.0303,752.2,10.0,16.61,25.15,304.8,0.4297,-0.5151
17,1.0,4.1,24.89,12.22,6688.88,6492.98,195.89,1.0302,754.2,10.0,16.37,25.15,302.8,0.4239,-0.5151
18,1.0,4.2,24.63,12.65,6597.95,6403.38,194.57,1.0304,749.0,10.0,16.17,24.89,303.9,0.4111,-0.5152
19,1.0,2.3,24.45,12.54,6401.07,6207.27,193.8,1.0312,728.3,10.0,16.01,24.63,304.7,0.4028,-0.5156
20,1.0,1.4,24.66,12.38,6270.8,6081.35,189.45,1.0312,685.2,10.0,15.88,24.45,305.7,0.3996,-0.5156
21,1.0,-0.4,24.96,12.41,6216.25,6031.23,185.02,1.0307,646.7,10.0,15.73,24.66,305.7,0.3821,-0.5153
22,1.0,-2.0,24.45,12.54,5950.99,5765.63,185.36,1.0321,634.6,10.0,15.46,24.45,305.6,0.3808,-0.5161
23,1.0,-3.0,24.69,12.36,5928.78,5744.55,184.23,1.0321,601.7,10.0,15.24,24.45,307.5,0.3919,-0.516
24,1.0,-2.3,24.87,12.45,6093.16,5908.69,184.47,1.0312,590.3,10.0,14.97,24.69,306.1,0.4011,-0.5156
25,1.0,-5.0,24.25,12.69,6231.37,6045.35,186.02,1.0308,625.6,10.0,14.68,24.24,305.6,0.396,-0.5154
26,1.0,-4.0,23.48,13.29,6156.33,5966.05,190.28,1.0319,649.3,10.0,14.38,23.47,307.6,0.3749,-0.5159
27,1.0,-3.6,23.59,13.43,5833.05,5646.1,186.95,1.0331,601.3,10.0,14.3,23.48,309.4,0.3748,-0.5166
28,1.0,-6.0,24.07,12.81,5828.93,5643.83,185.09,1.0328,563.9,10.0,14.17,24.07,309.3,0.3811,-0.5164
29,1.0,-5.0,23.24,13.47,5929.07,5737.43,191.64,1.0334,605.6,10.0,13.87,23.24,308.8,0.4269,-0.5167
30,1.0,-4.6,24.79,12.48,6616.96,6423.17,193.79,1.0302,578.6,10.0,13.81,24.79,311.2,0.4347,-0.5151
31,1.0,-6.0,23.23,13.47,6744.31,6540.82,203.49,1.0311,664.3,10.0,13.48,23.23,303.8,0.4185,-0.5156
32,1.0,-7.0,22.77,13.85,6497.46,6293.32,204.14,1.0324,671.7,10.0,13.5,22.78,315.3,0.4066,-0.5162
33,1.0,-2.4,23.35,13.62,6315.85,6114.35,201.51,1.033,624.1,10.0,13.66,23.35,323.3,0.4135,-0.5165
34,1.0,0.0,23.79,13.03,6423.19,6220.0,203.19,1.0327,606.7,10.0,13.64,23.78,308.0,0.4089,-0.5163
35,1.0,5.7,23.24,13.46,6388.37,6149.72,238.65,1.0388,630.2,10.0,13.58,23.24,302.6,0.409,-0.5194
36,1.0,6.2,23.87,13.2,6374.15,6150.51,223.64,1.0364,607.1,10.0,13.84,23.87,300.9,0.4114,-0.5182
37,1.0,8.0,23.62,13.16,6421.1,6189.48,231.62,1.0374,634.7,10.0,13.96,23.87,300.5,0.4126,-0.5187
38,1.0,9.0,23.67,13.11,6425.86,6209.75,216.11,1.0348,647.2,9.99,14.17,23.62,300.6,0.4125,-0.5174
39,1.0,9.6,23.93,13.12,6416.1,6209.21,206.89,1.0333,644.1,9.99,14.38,23.67,301.0,0.398,-0.5167
40,1.0,10.0,23.6,13.17,6205.99,5993.94,212.05,1.0354,654.1,9.99,14.52,23.6,301.2,0.394,-0.5177
41,1.0,9.0,23.94,12.9,6545.43,5933.83,611.6,1.1031,635.7,9.99,14.69,23.94,301.4,0.3917,-0.5515
42,1.0,8.0,23.94,13.11,6129.57,5900.67,228.9,1.0388,639.0,9.99,14.79,23.94,301.5,0.3867,-0.5194
43,1.0,5.0,24.2,12.69,6031.72,5827.3,204.42,1.0351,621.7,10.0,14.92,23.94,301.2,0.3772,-0.5175
44,1.0,5.0,24.54,12.44,5896.95,5684.44,212.51,1.0374,587.3,10.0,14.96,24.53,301.3,0.3866,-0.5187
45,1.0,4.2,24.51,12.67,6024.31,5826.67,197.64,1.0339,597.5,10.0,14.86,24.54,300.5,0.4176,-0.517
46,1.0,3.8,24.82,12.23,6497.85,6293.89,203.97,1.0324,618.1,10.0,14.74,24.81,301.0,0.421,-0.5162
47,1.0,3.2,23.91,12.92,6559.95,6343.79,216.16,1.0341,674.9,10.0,14.61,23.91,300.9,0.4104,-0.517
48,1.0,2.9,24.25,12.86,6386.13,6182.7,203.43,1.0329,643.3,10.0,14.73,24.24,301.9,0.4047,-0.5165
49,1.0,2.0,24.22,12.68,6295.66,6097.88,197.78,1.0324,636.5,10.0,14.74,24.25,301.8,0.4212,-0.5162
50,1.0,2.1,24.21,12.69,6552.18,6345.92,206.26,1.0325,650.9,10.0,14.56,24.22,300.9,0.4093,-0.5163
51,1.0,2.2,23.59,13.36,6364.31,6164.71,199.6,1.0324,665.7,10.0,14.42,23.59,300.7,0.4144,-0.5162
52,1.0,2.0,24.31,12.61,6441.84,6240.8,201.04,1.0322,626.6,10.0,14.45,24.31,301.9,0.42,-0.5161
53,1.0,2.0,23.74,13.05,6532.41,6325.15,207.25,1.0328,661.2,10.0,14.27,23.74,300.7,0.4204,-0.5164
54,1.0,2.5,24.02,12.99,6530.94,6329.33,201.61,1.0319,643.0,10.0,14.28,23.74,301.4,0.4126,-0.5159
55,1.0,3.3,23.88,12.94,6421.3,6212.15,209.15,1.0337,638.3,10.0,14.25,24.02,301.3,0.404,-0.5168
56,1.0,3.0,23.64,13.13,6299.73,6082.38,217.35,1.0357,639.2,10.0,14.22,23.88,300.9,0.4104,-0.5179
57,1.0,2.9,24.1,12.92,6389.69,6177.95,211.74,1.0343,621.6,10.0,14.26,24.09,300.8,0.4202,-0.5171
58,1.0,3.6,23.97,12.87,6539.43,6326.93,212.49,1.0336,639.4,10.0,14.18,24.1,300.6,0.4381,-0.5168
59,1.0,7.0,24.03,12.83,6809.26,6594.91,214.35,1.0325,660.6,10.0,14.14,23.97,300.9,0.4429,-0.5163
60,1.0,8.8,23.85,13.1,8024.52,6666.85,1357.68,1.2036,686.0,9.99,14.22,24.03,300.9,0.443,-0.6018
61,1.0,9.7,23.59,13.17,8131.05,6668.87,1462.18,1.2193,713.8,9.99,14.33,23.85,301.2,0.4373,-0.6096
62,1.0,15.0,23.45,13.28,8403.17,6584.58,1818.59,1.2762,723.9,9.99,14.44,23.59,301.9,0.4191,-0.6381
63,1.0,13.9,22.65,14.03,8064.42,6311.51,1752.91,1.2777,764.1,9.97,14.47,22.65,303.1,0.4139,-0.6389
64,1.0,15.0,23.76,13.04,7901.33,6233.48,1667.86,1.2676,683.2,9.98,14.72,23.76,306.3,0.4028,-0.6338
65,1.0,14.0,22.8,13.82,7741.47,6069.29,1672.18,1.2755,738.2,9.98,14.65,22.8,303.1,0.3958,-0.6378
66,1.0,12.9,23.76,13.13,7720.95,5962.63,1758.32,1.2949,664.1,9.98,14.86,23.75,305.2,0.3951,-0.6474
