seed,timestamp,epoch,episode,num_timesteps,elapsed_seconds,ent_coef,critic_loss,actor_loss,ent_coef_loss,learning_rate,n_updates,last_episode,last_reward,last_comfort_pct,reward_mean_last5
01,2026-04-05T13:04:50,1775387090.7829185,186,1622000,68809.09128250001,1.4708147048950195,3139.212646484375,-800.485595703125,-0.07240422815084457,5e-05,1613239,185,-12194.492601541624,51.45531332039721,-11855.232573357009
02,2026-04-05T13:04:50,1775387090.7973025,185,1612000,68657.67559639999,0.3904087543487549,1193.81591796875,-368.6707763671875,-0.20800866186618805,5e-05,1603239,184,-10644.984809081894,35.48681657345052,-8942.434730538724
03,2026-04-05T13:04:50,1775387090.8093026,185,1617500,68804.2942764,0.841395914554596,2885.43017578125,-1191.96484375,-0.0784415602684021,5e-05,1608739,184,-15271.505823365342,59.57082524825933,-12122.714269802087
04,2026-04-05T13:04:50,1775387090.8183117,185,1612500,68666.89028970001,1.092117190361023,1124.12109375,-846.6263427734375,0.004797557834535837,5e-05,1603739,184,-7556.936539084709,16.641935852071683,-6401.306820291116
05,2026-04-05T13:04:50,1775387090.8288164,186,1627500,68795.56414870001,0.06339497864246368,49.838829040527344,34.26500701904297,0.470016747713089,5e-05,1618739,185,-6193.665112350247,8.047026595137542,-6791.384588126557
06,2026-04-05T13:04:50,1775387090.841541,185,1620000,68793.12892739999,0.09074492007493973,64.00718688964844,-37.53038024902344,-0.512621283531189,5e-05,1611239,184,-9122.494697629396,22.257733135486816,-6578.274521190436
07,2026-04-05T13:04:50,1775387090.8566978,184,1608500,68802.32230100001,0.23720744252204895,592.26513671875,-66.48933410644531,-0.44070738554000854,5e-05,1599739,183,-6735.940500096657,16.653350074192446,-6529.139801313491
08,2026-04-05T13:04:50,1775387090.870747,184,1603500,68655.48686920002,0.3018719255924225,314.2842712402344,-83.71564483642578,-0.05541669577360153,5e-05,1594739,183,-7870.675088036092,30.829813948179428,-7082.645210734205
09,2026-04-05T13:04:50,1775387090.8870268,185,1618000,68803.79347810001,2.386687755584717,22733.12890625,-3178.95166015625,0.1014089584350586,5e-05,1609239,184,-9496.246987327862,29.61990640337861,-10100.713087842529
10,2026-04-05T13:04:50,1775387090.9012728,183,1601000,68799.9878157,0.40046629309654236,1012.3678588867188,-66.78526306152344,0.04403702914714813,5e-05,1592239,182,-6653.980123459677,8.788951032987102,-6846.171078859794
11,2026-04-05T13:04:50,1775387090.9145024,186,1622000,68799.7737125,0.8027371168136597,5105.6015625,-1647.0225830078125,-0.05845431238412857,5e-05,1613239,185,-10987.779760063004,30.510215728798084,-10531.984666910957
12,2026-04-05T13:04:50,1775387090.9236634,186,1623500,68792.6907483,0.11890974640846252,106.66277313232422,-99.74671173095703,-0.047461509704589844,5e-05,1614739,185,-6945.944956803057,14.404748316402237,-8205.229198750694
01,2026-04-05T13:06:50,1775387210.942798,186,1625000,68930.8797006,1.4563281536102295,2587.025390625,-794.147705078125,-0.062468454241752625,5e-05,1616239,185,-12194.492601541624,51.45531332039721,-11855.232573357009
02,2026-04-05T13:06:50,1775387210.9508083,185,1615000,68779.98732809999,0.3889760971069336,884.9842529296875,-382.5731201171875,0.03482240065932274,5e-05,1606239,184,-10644.984809081894,35.48681657345052,-8942.434730538724
03,2026-04-05T13:06:50,1775387210.9599314,186,1620500,68925.86614010003,0.8332052230834961,5698.4716796875,-1208.6455078125,0.048684827983379364,5e-05,1611739,184,-15271.505823365342,59.57082524825933,-12122.714269802087
04,2026-04-05T13:06:50,1775387210.9684024,185,1615500,68789.80410500002,1.080672264099121,962.9010009765625,-873.9656982421875,-0.01075126975774765,5e-05,1606739,184,-7556.936539084709,16.641935852071683,-6401.306820291116
05,2026-04-05T13:06:50,1775387210.9839287,187,1630500,68920.4763324,0.06408537924289703,46.841522216796875,39.14630126953125,0.20569029450416565,5e-05,1621739,186,-6121.028090717273,6.403378609747746,-6737.045215541641
