scenario_id,controller_type,closed_loop_steps,dt_hours,total_cost,energy_cost,demand_charge_cost,grid_import_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_step_count,pv_actual_kwh,pv_used_kwh,pv_spill_kwh,pv_spill_reduction_vs_no_tes,tes_charge_during_pv_surplus_kwh_th,soc_headroom_before_pv_hours,pv_self_consumption_ratio,pv_load_coverage_ratio,it_energy_kwh,facility_energy_kwh,cold_station_energy_kwh,pue_avg,pue_p95,temp_violation_count,temp_violation_degree_hours,max_temp_c,soc_min,soc_max,soc_violation_count,initial_soc,final_soc_after_last_update,soc_delta,soc_inventory_delta_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_equivalent_cycles,tes_charge_weighted_avg_price,tes_discharge_weighted_avg_price,tes_arbitrage_price_spread,charge_steps,discharge_steps,idle_steps,charge_discharge_switch_count,first_discharge_step,first_discharge_timestamp,avg_chiller_plr,avg_mode_specific_plr,weighted_avg_chiller_cop,time_in_high_plr_region,low_plr_hours,high_plr_hours,time_in_each_mode,mode_switch_count,max_signed_du,signed_valve_violation_count,physical_consistency_violation_count,max_chiller_supply_deficit_kw_th,max_signed_valve_du,tes_discharge_during_peak_cap_violation_kwh_th,solve_time_avg_s,solve_time_p95_s,optimal_rate,feasible_rate,fallback_count,has_nan,run_dir
terminal_soc_24h_low_target,mpc,96,0.25,2753.371835071185,2753.371835071185,0.0,42142.148576189,3090.0,0.0,0,20343.6,19816.0,527.6000000000003,,56.96808510636843,0.0,0.9740655537859573,0.31982879500720657,432000.0,493958.14857618895,61958.148576189,1.1434216402226596,1.1716666666666666,0,0.0,26.978951036011143,0.5,0.85,0,0.5,0.8226113143897209,0.3226113143897209,5807.003659014977,7149.296229363657,188.66604530545825,0.010481446961414348,31.53390414225364,83.0,51.46609585774636,57,1,38,1,94.0,2025-07-01 23:30:00,0.9682932994914881,0.9682932994914881,7.098000296330537,21.5,0.0,21.5,"{'-1': 2.0, '0': 2.25, '2': 19.75}",6,0.10000000000000087,0,0,0.0,0.10000000000000087,0.0,2.04779738854207,5.417659875005484,0.9895833333333334,1.0,1,False,terminal_soc_representative/terminal_soc_24h_low_target
terminal_soc_7day_low_target,mpc,672,0.25,35275.25103507118,35275.25103507118,0.0,398561.108576189,3090.0,0.0,0,108987.12,108357.04,630.0800000000003,,231.26633905281764,1.0,0.9942187664010206,0.21375648179957418,3024000.0,3530918.148576189,506918.148576189,1.1676316628889514,1.1716666666666666,323,31.694143835710303,27.84456620057077,0.04999999999999958,0.860264027184958,0,0.5,0.04999999999999986,-0.4500000000000001,-8100.000000000002,51790.171286563265,50396.03384305524,2.799779657947513,96.78979504215293,137.90555751375277,41.11576247159984,335,53,284,14,94.0,2025-07-01 23:30:00,0.9957979071615225,0.9957979071615225,7.1170838272160175,165.5,0.0,165.5,"{'-1': 2.0, '0': 2.25, '2': 163.75}",6,0.10000000000099973,0,0,4.729372449219227e-11,0.10000000000099973,0.0,0.35064619955314164,1.6109574600050107,0.9970238095238095,1.0,2,False,terminal_soc_representative/terminal_soc_7day_low_target
fixcheck_mpc,mpc,96,0.25,3627.888602232523,3627.888602232523,0.0,47442.25019534863,3090.0,0.0,0,20343.6,20000.64,342.96000000000004,,32.553191489353864,0.0,0.9831416268507049,0.29655668584291184,432000.0,499442.89019534865,67442.89019534862,1.156117801378122,1.1716666666666666,0,0.0,26.41454661714947,0.5,0.85,0,0.5,0.85,0.35,6300.0,7458.569622201672,0.0,0.0,35.39574098145599,,,88,0,8,0,,,0.9911926111004301,0.9911926111004301,7.1132364343083045,21.5,0.0,21.5,"{'-1': 2.0, '2': 22.0}",2,0.10000000000000003,0,0,6.442860467359424e-09,0.10000000000000003,0.0,1.218259128125889,2.2551499999899534,1.0,1.0,0,False,smoke/fixcheck_mpc
fixcheck_mpc_7day_rerun,mpc,672,0.25,35306.68612936715,35306.68612936715,0.0,398751.62429919484,3090.0,0.0,0,108987.12,108357.04,630.0800000000012,,40.691489361691495,0.75,0.9942187664010206,0.21367617559787774,3024000.0,3531108.6642991947,507108.6642991948,1.167694664120104,1.1716666666666666,326,31.212885749363714,27.841610617899036,0.04999999999999958,0.8602640271849578,0,0.5,0.04999999999999987,-0.4500000000000001,-8100.000000000002,50884.50098145774,49555.63529745578,2.7530908498586544,98.88933777993704,136.04966372661983,37.16032594668279,321,54,297,14,95.0,2025-07-01 23:45:00,0.9962119349675647,0.9962119349675647,7.117391676770996,166.0,0.0,166.0,"{'-1': 2.0, '0': 2.25, '2': 163.75}",6,0.1000000000026473,0,0,4.729372449219227e-11,0.1000000000026473,0.0,0.2526096991081691,1.181809795007574,0.9910714285714286,1.0,6,False,smoke/fixcheck_mpc_7day_rerun
fixcheck_no_tes,no_tes,96,0.25,4073.020558580113,4073.020558580113,0.0,49648.428718667245,3090.000000000343,0.0,0,20343.6,20000.64,342.96000000000004,,0.0,1.0,0.9831416268507049,0.28716306431588307,432000.0,501649.06871866726,69649.06871866724,1.1612246961080261,1.1716666666666666,0,0.0,26.064226350784523,0.5,0.5,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,0,0,96,0,,,0.9897177222565893,0.9897177222565893,7.112137019237114,22.5,0.0,22.5,"{'-1': 1.25, '2': 22.75}",2,0.0,0,0,0.0,0.0,0.0,0.4742664239580942,0.7817820249911165,1.0,1.0,0,False,smoke/fixcheck_no_tes
fixcheck_rbc,rbc,96,0.25,4037.14525061981,4037.14525061981,0.0,36091.93345084583,3090.0,0.0,0,20343.6,18466.021027046176,1877.5789729538228,,0.0,4.5,0.9077066510866404,0.338466154088108,432000.0,486557.954477892,54557.954477892,1.1262915612914168,1.1716666666666666,13,0.6847265937601357,27.397461105978863,0.14841145331284186,0.8495899267928225,0,0.5,0.14833724758618544,-0.35166275241381456,-6329.929543448662,6929.7016275898295,11434.443859915105,0.6352468811063947,29.0,165.0,136.0,32,19,45,1,32.0,2025-07-01 08:00:00,0.831256411210449,0.831256411210449,6.986092023062456,17.0,0.0,17.0,"{'0': 5.5, '1': 2.25, '2': 16.25}",3,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,0.0,0.0,1.0,1.0,0,False,smoke/fixcheck_rbc
pv_priority_pv_scale-1_w_spill-0p02,mpc,96,0.25,2783.4066050194406,2783.4066050194406,0.0,42324.177484966305,3090.0,0.0,0,20343.6,19816.0,527.5999999999999,,40.691489361692334,0.5,0.9740655537859573,0.31889191183585086,432000.0,494140.17748496635,62140.177484966305,1.143843003437422,1.1716666666666666,0,0.0,26.960577695673383,0.5,0.8500000000000001,0,0.5,0.8236104544668993,0.3236104544668993,5824.988180404187,7076.055617661545,110.0005389798999,0.006111141054438884,31.125417786505707,83.0,51.87458221349429,49,1,46,1,95.0,2025-07-01 23:45:00,0.9719616806077553,0.9719616806077553,7.100456559523217,21.25,0.0,21.25,"{'-1': 2.0, '0': 2.25, '2': 19.75}",6,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.7721963760426054,4.807298625011754,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-1_w_spill-0p02
pv_priority_pv_scale-1_w_spill-0p2,mpc,96,0.25,2762.1844520575496,2762.1844520575496,0.0,42195.55837610636,3090.0,0.0,0,20343.6,20000.64,342.96000000000004,,8.138297872338466,0.5,0.9831416268507049,0.32157335210512733,432000.0,494196.19837610633,62196.19837610636,1.1439726814261721,1.1716666666666666,0,0.0,26.978951036011136,0.5,0.85,0,0.5,0.8204045198124769,0.32040451981247686,5767.281356624583,7076.055617661546,163.1724030586635,0.009065133503259083,31.125417786505704,83.0,51.87458221349429,49,1,46,1,94.0,2025-07-01 23:30:00,0.9658947020550932,0.9658947020550932,7.0823144709096875,21.5,0.0,21.5,"{'-1': 2.0, '0': 1.5, '1': 1.0, '2': 19.5}",5,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.5076759447886918,4.803325449996919,0.9895833333333334,1.0,1,False,pv_priority_partial/pv_priority_pv_scale-1_w_spill-0p2
pv_priority_pv_scale-1_w_spill-1p0,mpc,96,0.25,2835.861262982359,2835.861262982359,0.0,42642.08450292339,3090.0,0.0,0,20343.6,20000.64,342.96000000000004,,8.138297872342944,0.5,0.9831416268507049,0.31928113214594644,432000.0,494642.72450292343,62642.72450292339,1.1450063067197302,1.1716666666666666,0,0.0,26.927695758762802,0.5,0.8500000000000002,0,0.5,0.8302529990912895,0.33025299909128947,5944.553983643211,7076.055617661552,0.0,0.0,31.125417786505707,,,49,0,47,0,,,0.9638640258362691,0.9638640258362691,7.082068541359178,22.0,0.0,22.0,"{'-1': 2.0, '0': 1.25, '1': 1.0, '2': 19.75}",6,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.5476755864574443,5.156594474989106,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-1_w_spill-1p0
pv_priority_pv_scale-1_w_spill-5p0,mpc,96,0.25,2835.845082476143,2835.845082476143,0.0,42641.98643924935,3090.0,0.0,0,20343.6,20000.64,342.96000000000004,,16.276595744676932,0.25,0.9831416268507049,0.31928163196344533,432000.0,494642.6264392494,62642.62643924935,1.1450060797204846,1.1716666666666666,0,0.0,26.92782154858467,0.5,0.85,0,0.5,0.8306683332579182,0.3306683332579182,5952.029998642528,7084.193915533883,0.0,0.0,31.12297611378246,,,50,0,46,0,,,0.9638596037730296,0.9638596037730296,7.082067203780097,21.75,0.0,21.75,"{'-1': 2.0, '0': 1.25, '1': 1.0, '2': 19.75}",6,0.10000000000000003,0,0,0.0,0.10000000000000003,0.0,1.4507259968731887,4.93665692499053,1.0,1.0,0,False,pv_priority_partial/pv_priority_pv_scale-1_w_spill-5p0
