scenario_id,controller_type,category,report,total_cost,peak_grid_kw,temp_violation_degree_hours,fallback_count
dr_day_ahead_r0p05_mpc_no_tes,mpc_no_tes,DR event,cases/dr_day_ahead_r0p05_mpc_no_tes/report.md,1303197.2320150796,21090.00000000009,0.0,0
dr_day_ahead_r0p05_mpc_tes,mpc,DR event,cases/dr_day_ahead_r0p05_mpc_tes/report.md,1303044.495951908,21090.0,7.469580509678053e-13,0
dr_day_ahead_r0p15_mpc_no_tes,mpc_no_tes,DR event,cases/dr_day_ahead_r0p15_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_day_ahead_r0p15_mpc_tes,mpc,DR event,cases/dr_day_ahead_r0p15_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
dr_day_ahead_r0p1_mpc_no_tes,mpc_no_tes,DR event,cases/dr_day_ahead_r0p1_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_day_ahead_r0p1_mpc_tes,mpc,DR event,cases/dr_day_ahead_r0p1_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
dr_fast_r0p05_mpc_no_tes,mpc_no_tes,DR event,cases/dr_fast_r0p05_mpc_no_tes/report.md,1303197.2320150796,21090.00000000009,0.0,0
dr_fast_r0p05_mpc_tes,mpc,DR event,cases/dr_fast_r0p05_mpc_tes/report.md,1303044.495951908,21090.0,7.469580509678053e-13,0
dr_fast_r0p15_mpc_no_tes,mpc_no_tes,DR event,cases/dr_fast_r0p15_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_fast_r0p15_mpc_tes,mpc,DR event,cases/dr_fast_r0p15_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
dr_fast_r0p1_mpc_no_tes,mpc_no_tes,DR event,cases/dr_fast_r0p1_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_fast_r0p1_mpc_tes,mpc,DR event,cases/dr_fast_r0p1_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
dr_realtime_r0p05_mpc_no_tes,mpc_no_tes,DR event,cases/dr_realtime_r0p05_mpc_no_tes/report.md,1303197.2320150796,21090.00000000009,0.0,0
dr_realtime_r0p05_mpc_tes,mpc,DR event,cases/dr_realtime_r0p05_mpc_tes/report.md,1303044.495951908,21090.0,7.469580509678053e-13,0
dr_realtime_r0p15_mpc_no_tes,mpc_no_tes,DR event,cases/dr_realtime_r0p15_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_realtime_r0p15_mpc_tes,mpc,DR event,cases/dr_realtime_r0p15_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
dr_realtime_r0p1_mpc_no_tes,mpc_no_tes,DR event,cases/dr_realtime_r0p1_mpc_no_tes/report.md,1303176.370883921,21090.00000000009,0.0,0
dr_realtime_r0p1_mpc_tes,mpc,DR event,cases/dr_realtime_r0p1_mpc_tes/report.md,1303061.9052455665,21090.0,7.460698725481052e-13,0
peakcap_r0p95_eta10_mpc_no_tes,mpc_no_tes,Peak-cap,cases/peakcap_r0p95_eta10_mpc_no_tes/report.md,1344961.8571002702,20035.50000000281,428.99850522343365,0
peakcap_r0p95_eta10_mpc_tes,mpc,Peak-cap,cases/peakcap_r0p95_eta10_mpc_tes/report.md,1345060.5830334942,20035.50000000012,416.3371633570149,0
