step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,142,2024-01-02 11:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0031464999774470925,False,,0.0,-0.0
1,143,2024-01-02 11:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012696999765466899,False,,0.0,-0.0
2,144,2024-01-02 12:00:00,mpc,0.029,258.42,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012559999886434525,False,,0.0,-0.0
3,145,2024-01-02 12:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011026000138372183,False,,0.0,-0.0
4,146,2024-01-02 12:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013154000043869019,False,,0.0,-0.0
5,147,2024-01-02 12:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012157000019215047,False,,0.0,-0.0
6,148,2024-01-02 13:00:00,mpc,0.083,189.3,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012642000219784677,False,,0.0,-0.0
7,149,2024-01-02 13:15:00,mpc,0.029,0.0,1.0,0.4948733730311058,0.0,0.0,optimal_relaxed_modes,0.0013843000051565468,False,,-2226.930178639976,0.4948733730311058
8,150,2024-01-02 13:30:00,mpc,0.029,0.0,1.0,0.591753507298743,0.0,0.0,optimal_relaxed_modes,0.0014415000041481107,False,,-2662.8907828443434,0.591753507298743
9,151,2024-01-02 13:45:00,mpc,0.029,0.0,1.0,0.6583334257039364,0.0,0.0,optimal_relaxed_modes,0.001276700000744313,False,,-2962.5004156677137,0.6583334257039364
10,152,2024-01-02 14:00:00,mpc,0.083,307.86,1.0,0.712836142579191,0.0,0.0,optimal_relaxed_modes,0.001374599989503622,False,,-3207.7626416063595,0.712836142579191
11,153,2024-01-02 14:15:00,mpc,0.029,0.0,1.0,0.7615956154702027,0.0,0.0,optimal_relaxed_modes,0.0011953999928664416,False,,-3427.180269615912,0.7615956154702027
12,154,2024-01-02 14:30:00,mpc,0.029,0.0,0.9932565687426828,0.8079965319598638,0.0,0.0,optimal_relaxed_modes,0.0013204000133555382,False,,-3635.984393819387,0.8079965319598638
13,155,2024-01-02 14:45:00,mpc,0.029,0.0,0.9689443775753469,0.8534201589974213,0.0,0.0,optimal_relaxed_modes,0.0013448999961838126,False,,-3840.390715488396,0.8534201589974213
14,156,2024-01-02 15:00:00,mpc,0.083,93.72,0.9448989451322307,0.8558355611539016,0.0,0.0,optimal_relaxed_modes,0.0013085000100545585,False,,-3851.260025192557,0.8558355611539016
15,157,2024-01-02 15:15:00,mpc,0.029,0.0,0.9237269885596153,0.8397415221843978,0.0,0.0,optimal_relaxed_modes,0.0012615999730769545,False,,-3778.83684982979,0.8397415221843978
16,158,2024-01-02 15:30:00,mpc,0.029,0.0,0.9087457465646954,0.8162307591065151,0.0,0.0,optimal_relaxed_modes,0.0013896999880671501,False,,-3673.038415979318,0.8162307591065151
17,159,2024-01-02 15:45:00,mpc,0.029,0.0,0.9001558654645097,0.7893516791821337,0.0,0.0,optimal_relaxed_modes,0.0011515000078361481,False,,-3552.0825563196017,0.7893516791821337
18,160,2024-01-02 16:00:00,mpc,0.083,26.28,0.8967596560734906,0.8033408219793254,0.0,0.0,optimal_relaxed_modes,0.001107100018998608,False,,-3615.0336989069647,0.8033408219793254
19,161,2024-01-02 16:15:00,mpc,0.029,0.0,0.8948263544983109,0.8325371038659062,0.0,0.0,optimal_relaxed_modes,0.0011386999976821244,False,,-3746.416967396578,0.8325371038659062
20,162,2024-01-02 16:30:00,mpc,0.029,0.0,0.8902751781470456,0.8652580029498897,0.0,0.0,optimal_relaxed_modes,0.001339700014796108,False,,-3893.661013274504,0.8652580029498897
21,163,2024-01-02 16:45:00,mpc,0.029,0.0,0.8825145998959606,0.8972533275409635,0.0,0.0,optimal_relaxed_modes,0.0012098999868612736,False,,-4037.639973934336,0.8972533275409635
22,164,2024-01-02 17:00:00,mpc,0.158,0.0,0.8725130698933322,0.8462080929357882,0.0,0.0,optimal_relaxed_modes,0.0016110999858938158,False,,-3807.936418211047,0.8462080929357882
