step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
0,142,2024-01-02 11:30:00,1.0,6.113256085759422,-0.0,0.0,0.0,1.0,0.0,0.0,6.114453592700443,24.592516500048188,6.075,0.6218635592783951,0.0,0.0,7195.9076559020505,7195.9076559020505,0.0,7195.9076559020505,52.17033050528987,0.029,-0.0
1,143,2024-01-02 11:45:00,1.0,6.1140544240195025,-0.0,0.0,0.0,1.0,0.0,0.0,6.115251941068113,24.593322822132237,6.2,0.5840112608701508,0.0,0.0,7191.672187910984,7191.672187910984,0.0,7191.672187910984,52.139623362354634,0.029,-0.0
2,144,2024-01-02 12:00:00,1.0,6.1148527697654735,-0.0,0.0,0.0,1.0,0.0,0.0,6.116050290018414,24.594064661902895,6.65,0.8208223662979949,0.0,0.0,7220.36447226992,7220.364472269918,258.42,6961.94447226992,50.47409742395692,0.029,-0.0
3,145,2024-01-02 12:15:00,1.0,6.115651118409943,-0.0,0.0,0.0,1.0,0.0,0.0,6.116848636765351,24.59642942873418,7.1,1.0516422008807484,0.0,0.0,7255.7972661485965,7255.797266148595,0.0,7255.7972661485965,52.604530179577324,0.029,-0.0
4,146,2024-01-02 12:30:00,1.0,6.116449466251034,-0.0,0.0,0.0,1.0,0.0,0.0,6.117647051427962,24.657857978629366,7.55,1.2763388334190886,0.0,0.0,7236.431830486431,7236.431830486432,0.0,7236.431830486431,52.464130771026625,0.029,-0.0
5,147,2024-01-02 12:45:00,1.0,6.117247846983769,-0.0,0.0,0.0,1.0,0.0,0.0,6.11844808586887,24.799926682196514,8.0,1.4947750578768417,0.0,0.0,7210.89073195301,7210.89073195301,0.0,7210.89073195301,52.27895780665933,0.029,-0.0
6,148,2024-01-02 13:00:00,1.0,6.118047571522184,-0.0,0.0,0.0,1.0,0.0,0.0,6.119255224056239,24.966027744697833,8.25,1.6523147340447815,0.0,0.0,7206.646417872696,7206.646417872695,189.3,7017.346417872695,145.60993817085844,0.083,-0.0
7,149,2024-01-02 13:15:00,1.0,6.118851657881585,0.4948733730311058,1.0,0.0,0.0,836.7521979098067,0.0,6.248268337536104,24.842278952539232,8.5,1.8089470780802173,0.0,0.0,7195.752480100184,7195.752480100183,0.0,7195.752480100184,52.16920548072633,0.029,0.4948733730311058
8,150,2024-01-02 13:30:00,1.0,6.186901762649359,0.591753507298743,1.0,0.0,0.0,814.9186933577005,0.0,6.37393147543544,24.865370931920722,8.75,1.9646700896424094,0.0,0.0,7158.887303351387,7158.887303351387,0.0,7158.887303351387,51.90193294929756,0.029,0.591753507298743
9,151,2024-01-02 13:45:00,1.0,6.31415837081727,0.6583334257039364,1.0,0.0,0.0,852.4934999275897,0.0,6.5053534668844275,24.964143899629846,9.0,2.119475440788934,0.0,0.0,7136.992169741967,7136.992169741965,0.0,7136.992169741967,51.74319323062926,0.029,0.6583334257039364
