step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,142,2024-01-02 11:30:00,1.0,6.113256085759422,-1.0,0.0,1.0,1.0,0.0,0.0,6.114453592700443,24.592516500096497,6.075,0.6218635592783951,0.0,0.0,7195.9076559034,7195.9076559034,0.0,7195.9076559034,52.17033050529965,0.029,-1.0,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
1,143,2024-01-02 11:45:00,1.0,6.1140544240195025,-0.5,0.0,1.0,1.0,0.0,0.0,6.115251941068113,24.5933228222012,6.2,0.5840112608701508,0.0,0.0,7191.672187914895,7191.672187914895,0.0,7191.672187914895,52.13962336238299,0.029,-0.5,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
2,144,2024-01-02 12:00:00,1.0,6.1148527697654735,0.0,0.0,1.0,1.0,0.0,0.0,6.116050290018418,24.594064661978077,6.65,0.8208223662979949,0.0,0.0,7220.364472275889,7220.364472275889,258.42,6961.944472275889,50.4740974240002,0.029,0.0,perturbation,0.029,258.42,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,145,2024-01-02 12:15:00,1.0,6.115651118409943,0.5,1.0,0.0,0.0,0.0,0.0,6.116848636765358,24.59642942876323,7.1,1.0516422008807484,0.0,0.0,7255.797266154813,7255.797266154812,0.0,7255.797266154813,52.604530179622394,0.029,0.5,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
4,146,2024-01-02 12:30:00,1.0,6.116449466251037,1.0,1.0,0.0,0.0,0.0,0.0,6.117647051427973,24.657857978638326,7.55,1.2763388334190886,0.0,0.0,7236.431830489656,7236.431830489654,0.0,7236.431830489656,52.46413077105001,0.029,1.0,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
5,147,2024-01-02 12:45:00,1.0,6.117247846983774,0.0,1.0,0.0,0.0,0.0,0.0,6.118448085868881,24.79992668219935,8.0,1.4947750578768417,0.0,0.0,7210.890731954074,7210.890731954073,0.0,7210.890731954074,52.27895780666704,0.029,0.0,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,148,2024-01-02 13:00:00,1.0,6.118047571522196,0.5,1.0,0.0,0.0,0.0,0.0,6.11925522405625,24.966027744698764,8.25,1.6523147340447815,0.0,0.0,7206.64641787299,7206.646417872989,189.3,7017.34641787299,145.60993817086455,0.083,0.5,perturbation,0.083,189.3,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
7,149,2024-01-02 13:15:00,1.0,6.118851657881593,-0.5,1.0,1.0,0.0,836.7521971850875,0.0,6.24826833742508,24.842278952502838,8.5,1.8089470780802173,0.0,0.0,7195.752480068354,7195.752480068354,0.0,7195.752480068354,52.16920548049557,0.029,-0.5,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
8,150,2024-01-02 13:30:00,1.0,6.186901762591152,-1.0,0.0,1.0,1.0,0.0,0.0,6.249071735502156,25.090148914638508,8.75,1.9646700896424094,737.6043301925233,2453.024342975075,8988.085594512577,8988.085594512577,0.0,8988.085594512577,65.16362056021619,0.029,-1.0,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
9,151,2024-01-02 13:45:00,1.0,6.248670039380244,-0.5,0.0,1.0,1.0,0.0,0.0,6.249885808917128,25.197699787792825,9.0,2.119475440788934,869.7456998652727,2892.4821705026284,9122.955691616158,9122.955691616158,0.0,9122.955691616158,66.14142876421715,0.029,-0.5,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
