step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,142,2024-01-02 11:30:00,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
1,143,2024-01-02 11:45:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
2,144,2024-01-02 12:00:00,perturbation,0.029,258.42,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,145,2024-01-02 12:15:00,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
4,146,2024-01-02 12:30:00,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
5,147,2024-01-02 12:45:00,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,148,2024-01-02 13:00:00,perturbation,0.083,189.3,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
7,149,2024-01-02 13:15:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
8,150,2024-01-02 13:30:00,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
9,151,2024-01-02 13:45:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
10,152,2024-01-02 14:00:00,perturbation,0.083,307.86,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
11,153,2024-01-02 14:15:00,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
12,154,2024-01-02 14:30:00,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
13,155,2024-01-02 14:45:00,perturbation,0.029,0.0,0.9985725204568549,0.0,0.0,0.0,not_used,0.0,False,,0.0
14,156,2024-01-02 15:00:00,perturbation,0.083,93.72,0.9667378392347233,0.5,0.0,0.0,not_used,0.0,False,,0.5
15,157,2024-01-02 15:15:00,perturbation,0.029,0.0,0.9405372109731913,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
16,158,2024-01-02 15:30:00,perturbation,0.029,0.0,0.9214893304370738,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
17,159,2024-01-02 15:45:00,perturbation,0.029,0.0,0.9169970727555218,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
18,160,2024-01-02 16:00:00,perturbation,0.083,26.28,0.9224006721287233,0.0,0.0,0.0,not_used,0.0,False,,0.0
19,161,2024-01-02 16:15:00,perturbation,0.029,0.0,0.9276946214760393,0.5,0.0,0.0,not_used,0.0,False,,0.5
20,162,2024-01-02 16:30:00,perturbation,0.029,0.0,0.9108743274634468,1.0,0.0,0.0,not_used,0.0,False,,1.0
21,163,2024-01-02 16:45:00,perturbation,0.029,0.0,0.8868207379000528,0.0,0.0,0.0,not_used,0.0,False,,0.0
22,164,2024-01-02 17:00:00,perturbation,0.158,0.0,0.8748373310809191,0.5,0.0,0.0,not_used,0.0,False,,0.5
23,165,2024-01-02 17:15:00,perturbation,0.029,0.0,0.8679404183466047,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
24,166,2024-01-02 17:30:00,perturbation,0.029,0.0,0.8715558228012282,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
25,167,2024-01-02 17:45:00,perturbation,0.029,0.0,0.8814907016961988,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
26,168,2024-01-02 18:00:00,perturbation,0.158,0.0,0.8877210132908239,0.0,0.0,0.0,not_used,0.0,False,,0.0
27,169,2024-01-02 18:15:00,perturbation,0.029,0.0,0.8955295045372209,0.5,0.0,0.0,not_used,0.0,False,,0.5
28,170,2024-01-02 18:30:00,perturbation,0.029,0.0,0.9120563456780486,1.0,0.0,0.0,not_used,0.0,False,,1.0
29,171,2024-01-02 18:45:00,perturbation,0.029,0.0,0.9461004584100945,0.0,0.0,0.0,not_used,0.0,False,,0.0
30,172,2024-01-02 19:00:00,perturbation,0.19,0.0,0.984909114127349,0.5,0.0,0.0,not_used,0.0,False,,0.5
31,173,2024-01-02 19:15:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
32,174,2024-01-02 19:30:00,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
33,175,2024-01-02 19:45:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
34,176,2024-01-02 20:00:00,perturbation,0.19,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
35,177,2024-01-02 20:15:00,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
36,178,2024-01-02 20:30:00,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
37,179,2024-01-02 20:45:00,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
38,180,2024-01-02 21:00:00,perturbation,0.158,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
39,181,2024-01-02 21:15:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
40,182,2024-01-02 21:30:00,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
41,183,2024-01-02 21:45:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
42,184,2024-01-02 22:00:00,perturbation,0.083,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
43,185,2024-01-02 22:15:00,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
44,186,2024-01-02 22:30:00,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
45,187,2024-01-02 22:45:00,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
46,188,2024-01-02 23:00:00,perturbation,0.083,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
47,189,2024-01-02 23:15:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
48,190,2024-01-02 23:30:00,perturbation,0.029,0.0,1.0,-1.0,0.0,0.0,not_used,0.0,False,,-1.0
49,191,2024-01-02 23:45:00,perturbation,0.029,0.0,1.0,-0.5,0.0,0.0,not_used,0.0,False,,-0.5
50,192,2024-01-03 00:00:00,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
51,193,2024-01-03 00:15:00,perturbation,0.029,0.0,1.0,0.5,0.0,0.0,not_used,0.0,False,,0.5
52,194,2024-01-03 00:30:00,perturbation,0.029,0.0,1.0,1.0,0.0,0.0,not_used,0.0,False,,1.0
53,195,2024-01-03 00:45:00,perturbation,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
