step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,142,2024-01-02 11:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
1,143,2024-01-02 11:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
2,144,2024-01-02 12:00:00,rbc,0.029,258.42,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,145,2024-01-02 12:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
4,146,2024-01-02 12:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
5,147,2024-01-02 12:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,148,2024-01-02 13:00:00,rbc,0.083,189.3,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
7,149,2024-01-02 13:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
8,150,2024-01-02 13:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
9,151,2024-01-02 13:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
10,152,2024-01-02 14:00:00,rbc,0.083,307.86,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
11,153,2024-01-02 14:15:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
12,154,2024-01-02 14:30:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
13,155,2024-01-02 14:45:00,rbc,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
14,156,2024-01-02 15:00:00,rbc,0.083,93.72,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
