step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,26208,2024-10-01 00:00:00,0.0,19.27654354848834,-0.7673011534404272,0.45,0.0,0.0,1.0,1.0,0.0,-5934.035368465825,18.363170307899434,25.481508095814814,21.2,20.883085784130564,2750.35994713353,12695.404907202088,10599.407250555956,10599.407250555958,0.0,10599.407250555956,76.84570256653069,0.029,-0.7673011534404272,default_mpc,0.029,0.0,0.0,-0.7673011534404272,0.0,10297.768525580605,optimal_relaxed_modes,0.0023342999920714647,False,,3452.8551904819224,-0.7673011534404272
1,26209,2024-10-01 00:15:00,0.0,18.81418700754218,-0.7672255192641028,0.45,0.0,0.0,1.0,1.0,0.0,-5504.583660764832,17.516120197434425,25.47659452720575,21.4,21.110665942650932,2756.624801962464,12400.332883916246,10605.770828952202,10605.770828952202,0.0,10605.770828952202,76.89183850990347,0.029,-0.7672255192641028,default_mpc,0.029,0.0,0.0,-0.7672255192641028,0.0,10297.768525580605,optimal_relaxed_modes,0.0019175999914295971,False,,3452.5148366884623,-0.7672255192641028
2,26210,2024-10-01 00:30:00,0.0,17.934326161636317,-0.767174954506238,0.45,0.0,0.0,1.0,1.0,0.0,-5106.235539972415,16.730674373529187,25.470999379578878,21.6,21.338492792495863,2762.8666124190863,12000.52010688213,10605.665820782882,10605.665820782882,0.0,10605.665820782882,76.8910772006759,0.029,-0.767174954506238,default_mpc,0.029,0.0,0.0,-0.767174954506238,0.0,10297.768525580605,optimal_relaxed_modes,0.0017745000077411532,False,,3452.287295278071,-0.767174954506238
3,26211,2024-10-01 00:45:00,0.0,17.118465794818533,-0.7671345926211854,0.45,0.0,0.0,1.0,1.0,0.0,-4736.738835503513,16.002336243488696,25.4650310503329,21.8,21.56657082459924,2769.081378183518,11629.602787810638,10605.691156031486,10605.691156031486,0.0,10605.691156031486,76.89126088122828,0.029,-0.7671345926211854,default_mpc,0.029,0.0,0.0,-0.7671345926211854,0.0,10297.768525580605,optimal_relaxed_modes,0.0012454999960027635,False,,3452.1056667953344,-0.7671345926211854
4,26212,2024-10-01 01:00:00,0.0,16.3619330211025,-0.7670154148278875,0.45,0.0,0.0,1.0,1.0,0.0,-4394.004386790705,15.326939708807911,25.457930814234327,21.725,21.462717378777594,2766.8620825198873,11285.939642768797,10619.728418855073,10619.728418855073,0.0,10619.728418855073,76.99303103669928,0.029,-0.7670154148278875,default_mpc,0.029,0.0,0.0,-0.7670154148278875,0.0,10297.768525580605,optimal_relaxed_modes,0.0012413999938871711,False,,3451.5693667254936,-0.7670154148278875
5,26213,2024-10-01 01:15:00,0.0,15.660398596826779,-0.7669714756834999,0.45,0.0,0.0,1.0,1.0,0.0,-4076.094179948192,14.700624512355413,25.450411763190598,21.65,21.358924711646313,2764.0321221860736,10966.895641008236,10620.271647163696,10620.271647163696,0.0,10620.271647163696,76.9969694419368,0.029,-0.7669714756834999,default_mpc,0.029,0.0,0.0,-0.7669714756834999,0.0,10297.768525580605,optimal_relaxed_modes,0.0015716000052634627,False,,3451.3716405757496,-0.7669714756834999
6,26214,2024-10-01 01:30:00,0.0,15.009851287257273,-0.7669666279445468,0.45,0.0,0.0,1.0,1.0,0.0,-3781.316202169908,14.119803504923667,25.44279558899078,21.575,21.255215233777896,2761.197210156536,10670.836836317692,10620.36285258012,10620.36285258012,0.0,10620.36285258012,76.99763068120588,0.029,-0.7669666279445468,default_mpc,0.029,0.0,0.0,-0.7669666279445468,0.0,10297.768525580605,optimal_relaxed_modes,0.001294299989240244,False,,3451.3498257504607,-0.7669666279445468
7,26215,2024-10-01 01:45:00,0.0,14.406569057893154,-0.7669786929179512,0.45,0.0,0.0,1.0,1.0,0.0,-3507.9693900250118,13.58115517141728,25.43521095261674,21.5,21.151573768468506,2758.3574021181125,10396.178578099054,10620.484486064275,10620.484486064277,0.0,10620.484486064275,76.998512523966,0.029,-0.7669786929179512,default_mpc,0.029,0.0,0.0,-0.7669786929179512,0.0,10297.768525580605,optimal_relaxed_modes,0.0011486999865155667,False,,3451.4041181307803,-0.7669786929179512
8,26216,2024-10-01 02:00:00,0.0,13.847099278725755,-0.7672003220328699,0.45,0.0,0.0,1.0,1.0,0.0,-3254.387104619756,13.08161231675387,25.429539135469515,21.4,21.02320524582016,2754.876992902627,10140.483296254992,10621.826081767897,10621.826081767898,0.0,10621.826081767897,77.00823909281725,0.029,-0.7672003220328699,default_mpc,0.029,0.0,0.0,-0.7672003220328699,0.0,10297.768525580605,optimal_relaxed_modes,0.0010894000006373972,False,,3452.4014491479147,-0.7672003220328699
9,26217,2024-10-01 02:15:00,0.0,13.328249277514452,-0.7673187588498563,0.45,0.0,0.0,1.0,1.0,0.0,-3019.14348896364,12.618331609356385,25.424776169775082,21.3,20.894941039919438,2751.3446495805197,9903.74033687759,10622.162470007632,10622.162470007632,0.0,10622.162470007632,77.01067790755533,0.029,-0.7673187588498563,default_mpc,0.029,0.0,0.0,-0.7673187588498563,0.0,10297.768525580605,optimal_relaxed_modes,0.0010734999959822744,False,,3452.9344148243536,-0.7673187588498563
