step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,26208,2024-10-01 00:00:00,default_mpc,0.029,0.0,0.0,-0.7673011534404272,0.0,10297.768525580605,optimal_relaxed_modes,0.0023342999920714647,False,,3452.8551904819224,-0.7673011534404272
1,26209,2024-10-01 00:15:00,default_mpc,0.029,0.0,0.0,-0.7672255192641028,0.0,10297.768525580605,optimal_relaxed_modes,0.0019175999914295971,False,,3452.5148366884623,-0.7672255192641028
2,26210,2024-10-01 00:30:00,default_mpc,0.029,0.0,0.0,-0.767174954506238,0.0,10297.768525580605,optimal_relaxed_modes,0.0017745000077411532,False,,3452.287295278071,-0.767174954506238
3,26211,2024-10-01 00:45:00,default_mpc,0.029,0.0,0.0,-0.7671345926211854,0.0,10297.768525580605,optimal_relaxed_modes,0.0012454999960027635,False,,3452.1056667953344,-0.7671345926211854
4,26212,2024-10-01 01:00:00,default_mpc,0.029,0.0,0.0,-0.7670154148278875,0.0,10297.768525580605,optimal_relaxed_modes,0.0012413999938871711,False,,3451.5693667254936,-0.7670154148278875
5,26213,2024-10-01 01:15:00,default_mpc,0.029,0.0,0.0,-0.7669714756834999,0.0,10297.768525580605,optimal_relaxed_modes,0.0015716000052634627,False,,3451.3716405757496,-0.7669714756834999
6,26214,2024-10-01 01:30:00,default_mpc,0.029,0.0,0.0,-0.7669666279445468,0.0,10297.768525580605,optimal_relaxed_modes,0.001294299989240244,False,,3451.3498257504607,-0.7669666279445468
7,26215,2024-10-01 01:45:00,default_mpc,0.029,0.0,0.0,-0.7669786929179512,0.0,10297.768525580605,optimal_relaxed_modes,0.0011486999865155667,False,,3451.4041181307803,-0.7669786929179512
8,26216,2024-10-01 02:00:00,default_mpc,0.029,0.0,0.0,-0.7672003220328699,0.0,10297.768525580605,optimal_relaxed_modes,0.0010894000006373972,False,,3452.4014491479147,-0.7672003220328699
9,26217,2024-10-01 02:15:00,default_mpc,0.029,0.0,0.0,-0.7673187588498563,0.0,10297.768525580605,optimal_relaxed_modes,0.0010734999959822744,False,,3452.9344148243536,-0.7673187588498563
10,26218,2024-10-01 02:30:00,default_mpc,0.029,0.0,0.0,-0.7673833688192163,0.0,10297.768525580605,optimal_relaxed_modes,0.0012473999813664705,False,,3453.2251596864735,-0.7673833688192163
11,26219,2024-10-01 02:45:00,default_mpc,0.029,0.0,0.0,-0.7674263539742375,0.0,10297.768525580605,optimal_relaxed_modes,0.0014977999962866306,False,,3453.418592884069,-0.7674263539742375
12,26220,2024-10-01 03:00:00,default_mpc,0.029,0.0,0.002450095464423624,-0.7670133134396797,0.0,10297.768525580605,optimal_relaxed_modes,0.0010905000090133399,False,,3451.559910478559,-0.7670133134396797
13,26221,2024-10-01 03:15:00,default_mpc,0.029,0.0,0.07446372043548047,-0.7668384721756425,0.0,10297.768525580605,optimal_relaxed_modes,0.0015103000041563064,False,,3450.773124790391,-0.7668384721756425
14,26222,2024-10-01 03:30:00,default_mpc,0.029,0.0,0.14125169478805225,-0.7667887646234107,0.0,10297.768525580605,optimal_relaxed_modes,0.0011879000230692327,False,,3450.5494408053482,-0.7667887646234107
15,26223,2024-10-01 03:45:00,default_mpc,0.029,0.0,0.20319365685786622,-0.7652356093882818,0.0,10297.768525580605,optimal_relaxed_modes,0.0014427000132855028,False,,3443.5602422472684,-0.7652356093882818
16,26224,2024-10-01 04:00:00,default_mpc,0.029,0.0,0.2606408920743742,-0.7661543156370214,0.0,10297.768525580605,optimal_relaxed_modes,0.0012026999902445823,False,,3447.694420366596,-0.7661543156370214
17,26225,2024-10-01 04:15:00,default_mpc,0.029,0.0,0.31391987663304655,-0.7666615086374139,0.0,10297.768525580605,optimal_relaxed_modes,0.0011000999948009849,False,,3449.9767888683627,-0.7666615086374139
18,26226,2024-10-01 04:30:00,default_mpc,0.029,0.0,0.3633339719771357,0.5664191511071882,0.0,4297.93923702438,optimal_relaxed_modes,0.001065399992512539,False,,-2548.886179982347,0.5664191511071882
19,26227,2024-10-01 04:45:00,default_mpc,0.029,0.0,0.22743243918485778,-0.766976799798996,0.0,10297.768525580605,optimal_relaxed_modes,0.0010990000155288726,False,,3451.395599095482,-0.766976799798996
20,26228,2024-10-01 05:00:00,default_mpc,0.029,0.0,0.07043640012152483,-0.76704444808219,0.0,10297.768525580605,optimal_relaxed_modes,0.001265900005819276,False,,3451.700016369855,-0.76704444808219
21,26229,2024-10-01 05:15:00,default_mpc,0.029,0.0,0.08241617144237962,-0.7670852053629373,0.0,10297.768525580605,optimal_relaxed_modes,0.0012654000020120293,False,,3451.883424133218,-0.7670852053629373
22,26230,2024-10-01 05:30:00,default_mpc,0.029,0.0,0.1486229251235684,-0.7671141005867282,0.0,10297.768525580605,optimal_relaxed_modes,0.0012599999899975955,False,,3452.013452640277,-0.7671141005867282
23,26231,2024-10-01 05:45:00,default_mpc,0.029,0.0,0.18481796756636737,-0.7671380421968204,0.0,10297.768525580605,optimal_relaxed_modes,0.0011309999972581863,False,,3452.121189885692,-0.7671380421968204
24,26232,2024-10-01 06:00:00,default_mpc,0.029,184.2,0.24359879911176813,-0.7669207502197696,0.0,10297.768525580605,optimal_relaxed_modes,0.0018773999763652682,False,,3451.1433759889633,-0.7669207502197696
25,26233,2024-10-01 06:15:00,default_mpc,0.029,0.0,0.29811520991823187,-0.7668229032649071,0.0,10297.768525580605,optimal_relaxed_modes,0.0015399999974761158,False,,3450.703064692082,-0.7668229032649071
26,26234,2024-10-01 06:30:00,default_mpc,0.029,0.0,0.3486761712663613,-0.7667877390662997,0.0,10297.768525580605,optimal_relaxed_modes,0.0011489999887999147,False,,3450.544825798349,-0.7667877390662997
27,26235,2024-10-01 06:45:00,default_mpc,0.029,0.0,0.3955689335974828,-0.08496740233852526,0.0,7229.619160893169,optimal_relaxed_modes,0.0010921999928541481,False,,382.3533105233637,-0.08496740233852526
28,26236,2024-10-01 07:00:00,default_mpc,0.029,1195.68,0.4390608230209805,1.0,0.0,2346.2799234795166,optimal_relaxed_modes,0.0018168000096920878,False,,-4500.0,1.0
29,26237,2024-10-01 07:15:00,default_mpc,0.029,0.0,0.3023714050867282,-0.7671077740453665,0.0,10297.768525580605,optimal_relaxed_modes,0.0013001000043004751,False,,3451.984983204149,-0.7671077740453665
30,26238,2024-10-01 07:30:00,default_mpc,0.029,0.0,0.11446929417858864,-0.7671606008879931,0.0,10297.768525580605,optimal_relaxed_modes,0.0011199000000488013,False,,3452.222703995969,-0.7671606008879931
31,26239,2024-10-01 07:45:00,default_mpc,0.029,0.0,0.1494833056570816,-0.767189609094893,0.0,10297.768525580605,optimal_relaxed_modes,0.0011119999981019646,False,,3452.3532409270183,-0.767189609094893
32,26240,2024-10-01 08:00:00,default_mpc,0.15,2375.76,0.21082420609942815,-0.7672935015001863,0.0,10297.768525580605,optimal_relaxed_modes,0.0013232000055722892,False,,3452.820756750838,-0.7672935015001863
33,26241,2024-10-01 08:15:00,default_mpc,0.029,0.0,0.24435929770118353,-0.7673609912489155,0.0,10297.768525580605,optimal_relaxed_modes,0.0014375000027939677,False,,3453.12446062012,-0.7673609912489155
34,26242,2024-10-01 08:30:00,default_mpc,0.029,0.0,0.29881992522020157,-0.7674020271036309,0.0,10297.768525580605,optimal_relaxed_modes,0.0011659000010695308,False,,3453.3091219663393,-0.7674020271036309
35,26243,2024-10-01 08:45:00,default_mpc,0.029,0.0,0.34932925026982165,-0.7674276313653057,0.0,10297.768525580605,optimal_relaxed_modes,0.0011155999964103103,False,,3453.4243411438756,-0.7674276313653057
36,26244,2024-10-01 09:00:00,default_mpc,0.15,3300.0,0.39617474661291924,1.0,0.0,2344.986287564104,optimal_relaxed_modes,0.0011693999986164272,False,,-4500.0,1.0
37,26245,2024-10-01 09:15:00,default_mpc,0.029,0.0,0.2578770623181451,-0.7671983290622809,0.0,10297.768525580605,optimal_relaxed_modes,0.0014340999769046903,False,,3452.392480780264,-0.7671983290622809
38,26246,2024-10-01 09:30:00,default_mpc,0.029,0.0,0.07887385171650348,-0.7657148108719884,0.0,10297.768525580605,optimal_relaxed_modes,0.0012221999932080507,False,,3445.716648923948,-0.7657148108719884
