step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,26208,2024-10-01 00:00:00,0.0,19.27654354848834,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-5934.035368465825,18.363170307899434,25.481508095814814,21.2,20.883085784130564,2750.35994713353,12695.404907202088,10599.407250555956,10599.407250555958,0.0,10599.407250555956,76.84570256653069,0.029,-0.3263949251168261,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8997.370624580708,optimal_relaxed_modes,0.0015710000006947666,False,,2152.4572894820258,-0.3263949251168261
1,26209,2024-10-01 00:15:00,0.0,18.81418700754218,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-5504.583660764832,17.516120197434425,25.47659452720575,21.4,21.110665942650932,2756.624801962464,12400.332883916246,10605.770828952202,10605.770828952202,0.0,10605.770828952202,76.89183850990347,0.029,-0.32639492511682594,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8997.710978374167,optimal_relaxed_modes,0.0011911999899894,False,,2152.457289482025,-0.32639492511682594
2,26210,2024-10-01 00:30:00,0.0,17.934326161636317,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-5106.235539972415,16.730674373529187,25.470999379578878,21.6,21.338492792495863,2762.8666124190863,12000.52010688213,10605.665820782882,10605.665820782882,0.0,10605.665820782882,76.8910772006759,0.029,-0.32639492511682594,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8997.938519784559,optimal_relaxed_modes,0.001441000000340864,False,,2152.457289482025,-0.32639492511682594
3,26211,2024-10-01 00:45:00,0.0,17.118465794818533,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-4736.738835503513,16.002336243488696,25.4650310503329,21.8,21.56657082459924,2769.081378183518,11629.602787810638,10605.691156031486,10605.691156031486,0.0,10605.691156031486,76.89126088122828,0.029,-0.32639492511682594,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.120148267295,optimal_relaxed_modes,0.0012346000003162771,False,,2152.457289482025,-0.32639492511682594
4,26212,2024-10-01 01:00:00,0.0,16.3619330211025,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-4394.004386790705,15.326939708807911,25.457930814234327,21.725,21.462717378777594,2766.8620825198873,11285.939642768797,10619.728418855073,10619.728418855073,0.0,10619.728418855073,76.99303103669928,0.029,-0.3263949251168261,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8998.656448337137,optimal_relaxed_modes,0.0016109999851323664,False,,2152.4572894820258,-0.3263949251168261
5,26213,2024-10-01 01:15:00,0.0,15.660398596826779,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-4076.094179948192,14.700624512355413,25.450411763190598,21.65,21.358924711646313,2764.0321221860736,10966.895641008236,10620.271647163696,10620.271647163696,0.0,10620.271647163696,76.9969694419368,0.029,-0.32639492511682594,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.85417448688,optimal_relaxed_modes,0.0014177999983076006,False,,2152.457289482025,-0.32639492511682594
6,26214,2024-10-01 01:30:00,0.0,15.009851287257273,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-3781.316202169908,14.119803504923667,25.44279558899078,21.575,21.255215233777896,2761.197210156536,10670.836836317692,10620.36285258012,10620.36285258012,0.0,10620.36285258012,76.99763068120588,0.029,-0.32639492511682583,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682583,0.0,8998.875989312168,optimal_relaxed_modes,0.0020299000025261194,False,,2152.457289482024,-0.32639492511682583
7,26215,2024-10-01 01:45:00,0.0,14.406569057893154,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-3507.9693900250118,13.58115517141728,25.43521095261674,21.5,21.151573768468506,2758.3574021181125,10396.178578099054,10620.484486064275,10620.484486064277,0.0,10620.484486064275,76.998512523966,0.029,-0.32639492511682594,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682594,0.0,8998.82169693185,optimal_relaxed_modes,0.0015753000043332577,False,,2152.457289482025,-0.32639492511682594
8,26216,2024-10-01 02:00:00,0.0,13.847099278725755,-0.3263949251168261,0.45,0.0,0.0,1.0,1.0,0.0,-3254.387104619756,13.08161231675387,25.429539135469515,21.4,21.02320524582016,2754.876992902627,10140.483296254992,10621.826081767897,10621.826081767898,0.0,10621.826081767897,77.00823909281725,0.029,-0.3263949251168261,measured_data_mpc,0.029,0.0,0.0,-0.3263949251168261,0.0,8997.824365914716,optimal_relaxed_modes,0.0017226999916601926,False,,2152.4572894820258,-0.3263949251168261
9,26217,2024-10-01 02:15:00,0.0,13.328249277514452,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-3019.14348896364,12.618331609356385,25.424776169775082,21.3,20.894941039919438,2751.3446495805197,9903.74033687759,10622.162470007632,10622.162470007632,0.0,10622.162470007632,77.01067790755533,0.029,-0.32639492511682583,measured_data_mpc,0.029,0.0,0.0,-0.32639492511682583,0.0,8997.291400238275,optimal_relaxed_modes,0.0015647999825887382,False,,2152.457289482024,-0.32639492511682583
