step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
0,26208,2024-10-01 00:00:00,0.0,19.27654354848834,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.276948055042993,25.481508095814807,21.2,20.883085784130564,2167.5409040766717,6844.913335098682,9896.775309247501,9896.775309247501,0.0,9896.775309247501,71.7516209920444,0.029,0.0
1,26209,2024-10-01 00:15:00,0.0,19.276813244566764,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.27721748799465,25.476846479991867,21.4,21.110665942650932,2174.8079183163113,6845.253688892142,9900.083620736592,9900.08362073659,0.0,9900.083620736592,71.77560625034029,0.029,0.0
2,26210,2024-10-01 00:30:00,0.0,19.27708277248639,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.277486706842524,25.471834842768708,21.6,21.338492792495863,2182.2739850593725,6845.481230302534,9903.736622169536,9903.736622169536,0.0,9903.736622169536,71.80209051072913,0.029,0.0
3,26211,2024-10-01 00:45:00,0.0,19.277352098386537,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.277755696396166,25.4665521748237,21.8,21.56657082459924,2189.9610377844315,6845.66285878527,9907.743727236517,9907.743727236517,0.0,9907.743727236517,71.83114202246475,0.029,0.0
4,26212,2024-10-01 01:00:00,0.0,19.277621202585806,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.27802444489613,25.46014803965575,21.725,21.462717378777594,2187.37681001478,6846.199158855111,9917.727804687214,9917.727804687214,0.0,9917.727804687214,71.90352658398231,0.029,0.0
5,26213,2024-10-01 01:15:00,0.0,19.277890071626317,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.278292903652748,25.453300193171078,21.65,21.358924711646313,2183.9762045672924,6846.396885004855,9916.441293948918,9916.441293948918,0.0,9916.441293948918,71.89419938112965,0.029,0.0
6,26214,2024-10-01 01:30:00,0.0,19.27815867524279,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.278561053410513,25.4463176133718,21.575,21.255215233777896,2180.569102900561,6846.418699830144,9914.777663888355,9914.777663888355,0.0,9914.777663888355,71.88213806319058,0.029,0.0
7,26215,2024-10-01 01:45:00,0.0,19.278426979506694,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.27882888833196,25.439325536297,21.5,21.151573768468506,2177.1869882223396,6846.364407449824,9913.164924517881,9913.164924517881,0.0,9913.164924517881,71.87044570275465,0.029,0.0
8,26216,2024-10-01 02:00:00,0.0,19.278694971838675,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.279096408018248,25.434205618826336,21.4,21.02320524582016,2172.820574553903,6845.36707643269,9911.888806635796,9911.888806635798,0.0,9911.888806635796,71.86119384810952,0.029,0.0
9,26217,2024-10-01 02:15:00,0.0,19.27896264913878,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,19.279363693782127,25.429957974627232,21.3,20.894941039919438,2168.6239991107877,6844.834110756251,9910.032120174597,9910.032120174594,0.0,9910.032120174597,71.84773287126583,0.029,0.0
