step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
0,8640,2024-04-01 00:00:00,0.009558104850363689,11.949055301147562,-0.7708775011547241,0.45,0.0,0.0,1.0,1.0,0.0,-2485.6806663299412,11.568227056735783,25.16563797696264,9.35,8.170358934075626,2541.5243580595725,9342.045455324478,10822.041917208553,10822.041917208553,0.0,10822.041917208553,78.45980389976201,0.029,-0.7708775011547241
1,8641,2024-04-01 00:15:00,0.04570481014541149,11.756393361924957,-0.7708970568979583,0.45,0.0,0.0,1.0,1.0,0.0,-2306.042544239757,11.214768102755741,25.165346629302892,9.1,8.076670019768988,2541.5243580595725,9173.834750540396,10822.048545662441,10822.048545662441,0.0,10822.048545662441,78.4598519560527,0.029,-0.7708970568979583
2,8642,2024-04-01 00:30:00,0.11458156133888882,11.389280278063723,-0.7709204317291248,0.45,0.0,0.0,1.0,1.0,0.0,-2139.404144471752,10.88695560424008,25.164904073074766,8.85,7.9796725267558495,2541.5243580595725,9006.621637039905,10822.04507130921,10822.04507130921,0.0,10822.04507130921,78.45982676699178,0.029,-0.7709204317291248
3,8643,2024-04-01 00:45:00,0.17846050219700055,11.048805523289987,-0.7709461405378192,0.45,0.0,0.0,1.0,1.0,0.0,-1984.826106027022,10.582926809800906,25.164420555515566,8.6,7.879413494477389,2541.5243580595725,8851.466052768874,10822.038771889638,10822.03877188964,0.0,10822.038771889638,78.45978109619988,0.029,-0.7709461405378192
4,8644,2024-04-01 01:00:00,0.23770466333923107,10.733034144401898,-0.7709728841925907,0.45,0.0,0.0,1.0,1.0,0.0,-1841.4367418246284,10.30095452973442,25.163937471688328,8.375,7.720465015997093,2541.5243580595725,8707.533047326602,10822.029080912906,10822.029080912906,0.0,10822.029080912906,78.45971083661857,0.029,-0.7709728841925907
5,8645,2024-04-01 01:15:00,0.2926506520991119,10.440172024311734,-0.7710003504084116,0.45,0.0,0.0,1.0,1.0,0.0,-1708.4272269173744,10.039437231288689,25.163474726863573,8.15,7.560394582458862,2541.5243580595725,8574.020249933219,10822.018294283978,10822.018294283978,0.0,10822.018294283978,78.45963263355884,0.029,-0.7710003504084116
6,8646,2024-04-01 01:30:00,0.3436105829918028,10.168555592653691,-0.08943649762682293,0.45,0.0,0.0,1.0,1.0,0.0,-1585.0470255920975,9.796889864529817,25.163041075958667,7.925000000000001,7.399214223444619,2540.8998162266053,8450.179652060748,10821.381268211453,10821.381268211453,0.0,10821.381268211453,78.45501419453304,0.029,-0.08943649762682293
7,8647,2024-04-01 01:45:00,0.3908738666038785,9.916642291001327,1.0,0.45,0.0,1.0,1.0,0.0,3386.237893581065,-20.684427927966773,10.426160596401884,28.61892410890405,7.7,7.236930795170267,0.0,0.0,7007.897465075644,7007.897465075644,0.0,7007.897465075644,50.807256621798416,0.029,1.0
8,8648,2024-04-01 02:00:00,0.30129837828612416,10.394079643734958,-0.7710764264294434,0.45,0.0,1.0,1.0,0.0,2104.7573655866163,-10.014871781741103,10.808502533506436,29.081677646302627,7.525,7.065067311701726,0.0,0.0,7086.091508904481,7086.091508904481,0.0,7086.091508904481,51.37416343955749,0.029,-0.7710764264294434
9,8649,2024-04-01 02:15:00,0.23098812969564714,10.7688332687222,-0.7710980269712907,0.45,0.0,0.0,1.0,1.0,0.0,-1898.6021791006128,10.539006301433357,25.282312559582834,7.35,6.893202356956057,2541.5243580595725,8812.6825970468,10863.855615576855,10863.855615576855,0.0,10863.855615576855,78.7629532129322,0.029,-0.7710980269712907
