step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th
0,8640,2024-04-01 00:00:00,default_mpc,0.029,0.0,0.009558104850363689,-0.7708775011547241,0.0,10297.768525580605,optimal_relaxed_modes,0.0012968999799340963,False,,3468.9487551962584
1,8641,2024-04-01 00:15:00,default_mpc,0.029,0.0,0.04570481014541149,-0.7708970568979583,0.0,10297.768525580605,optimal_relaxed_modes,0.001725200010696426,False,,3469.036756040812
2,8642,2024-04-01 00:30:00,default_mpc,0.029,0.0,0.11458156133888882,-0.7709204317291248,0.0,10297.768525580605,optimal_relaxed_modes,0.0014465000131167471,False,,3469.1419427810615
3,8643,2024-04-01 00:45:00,default_mpc,0.029,0.0,0.17846050219700055,-0.7709461405378192,0.0,10297.768525580605,optimal_relaxed_modes,0.002006399998208508,False,,3469.2576324201864
4,8644,2024-04-01 01:00:00,default_mpc,0.029,0.0,0.23770466333923107,-0.7709728841925907,0.0,10297.768525580605,optimal_relaxed_modes,0.0012035999970976263,False,,3469.377978866658
5,8645,2024-04-01 01:15:00,default_mpc,0.029,0.0,0.2926506520991119,-0.7710003504084116,0.0,10297.768525580605,optimal_relaxed_modes,0.0010215000074822456,False,,3469.5015768378526
6,8646,2024-04-01 01:30:00,default_mpc,0.029,0.0,0.3436105829918028,-0.08943649762682293,0.0,7230.609404126825,optimal_relaxed_modes,0.0010630000033415854,False,,402.4642393207032
7,8647,2024-04-01 01:45:00,default_mpc,0.029,0.0,0.3908738666038785,1.0,0.0,2328.0283391281246,optimal_relaxed_modes,0.0015100000018719584,False,,-4500.0
8,8648,2024-04-01 02:00:00,default_mpc,0.029,0.0,0.30129837828612416,-0.7710764264294434,0.0,10297.768525580605,optimal_relaxed_modes,0.0013789999939035624,False,,3469.8439189324954
9,8649,2024-04-01 02:15:00,default_mpc,0.029,0.0,0.23098812969564714,-0.7710980269712907,0.0,10297.768525580605,optimal_relaxed_modes,0.0011606999905779958,False,,3469.941121370808
10,8650,2024-04-01 02:30:00,default_mpc,0.029,0.0,0.2707036898349045,-0.7711189749002842,0.0,10297.768525580605,optimal_relaxed_modes,0.0011374999885447323,False,,3470.035387051279
11,8651,2024-04-01 02:45:00,default_mpc,0.029,0.0,0.3179455428060059,-0.771139641939157,0.0,10297.768525580605,optimal_relaxed_modes,0.001308799983235076,False,,3470.128388726206
12,8652,2024-04-01 03:00:00,default_mpc,0.029,0.0,0.3509691895127579,0.1665894910409764,0.0,6077.913150940159,optimal_relaxed_modes,0.0010989000147674233,False,,-749.6527096843938
13,8653,2024-04-01 03:15:00,default_mpc,0.029,0.0,0.2982724380797714,-0.7711707268441672,0.0,10297.768525580605,optimal_relaxed_modes,0.0013306000037118793,False,,3470.2682707987524
14,8654,2024-04-01 03:30:00,default_mpc,0.029,0.0,0.256733724477036,-0.7711840039458985,0.0,10297.768525580605,optimal_relaxed_modes,0.001073099992936477,False,,3470.328017756543
15,8655,2024-04-01 03:45:00,default_mpc,0.029,0.0,0.2959875539942232,-0.7711960279659171,0.0,10297.768525580605,optimal_relaxed_modes,0.0013469999830704182,False,,3470.382125846627
16,8656,2024-04-01 04:00:00,default_mpc,0.029,0.0,0.3415805566124176,-0.15923773267299515,0.0,7543.91505140632,optimal_relaxed_modes,0.001145999995060265,False,,716.5697970284782
17,8657,2024-04-01 04:15:00,default_mpc,0.029,0.0,0.3734516717173453,0.9470330510126682,0.0,2565.6628564958246,optimal_relaxed_modes,0.0013906999956816435,False,,-4261.648729557007
18,8658,2024-04-01 04:30:00,default_mpc,0.029,0.0,0.3191446521771384,-0.7712188982110858,0.0,10297.768525580605,optimal_relaxed_modes,0.001263100013602525,False,,3470.485041949886
19,8659,2024-04-01 04:45:00,default_mpc,0.029,0.0,0.27630276119928976,-0.7712238495274929,0.0,10297.768525580605,optimal_relaxed_modes,0.0012666000111494213,False,,3470.5073228737183
20,8660,2024-04-01 05:00:00,default_mpc,0.029,0.0,0.3140849655699016,-0.77121893807382,0.0,10297.768525580605,optimal_relaxed_modes,0.001191400020616129,False,,3470.48522133219
21,8661,2024-04-01 05:15:00,default_mpc,0.029,0.0,0.3584978242036517,0.42794520327274527,0.0,4901.567343702453,optimal_relaxed_modes,0.0010249999759253114,False,,-1925.7534147273536
22,8662,2024-04-01 05:30:00,default_mpc,0.029,0.0,0.28461842736832194,-0.7712008380039899,0.0,10297.768525580605,optimal_relaxed_modes,0.0010609999881125987,False,,3470.4037710179546
23,8663,2024-04-01 05:45:00,default_mpc,0.029,0.0,0.22623856626890557,-0.7711901928408562,0.0,10297.768525580605,optimal_relaxed_modes,0.0012527999933809042,False,,3470.355867783853
24,8664,2024-04-01 06:00:00,default_mpc,0.029,129.0,0.2667187118686875,-0.7711950704507965,0.0,10297.768525580605,optimal_relaxed_modes,0.0014106000016909093,False,,3470.377817028584
25,8665,2024-04-01 06:15:00,default_mpc,0.029,0.0,0.3142204220887578,-0.7712043481828591,0.0,10297.768525580605,optimal_relaxed_modes,0.0014346000098157674,False,,3470.419566822866
26,8666,2024-04-01 06:30:00,default_mpc,0.029,0.0,0.34742571752037826,-0.7712148162427718,0.0,10297.768525580605,optimal_relaxed_modes,0.0015347999869845808,False,,3470.466673092473
27,8667,2024-04-01 06:45:00,default_mpc,0.029,0.0,0.3944121216564188,-0.10205069560732065,0.0,7286.4915044765885,optimal_relaxed_modes,0.0011973999789915979,False,,459.22813023294293
28,8668,2024-04-01 07:00:00,default_mpc,0.029,713.16,0.4379907783021239,1.0,0.0,2327.325378070551,optimal_relaxed_modes,0.0014183000021148473,False,,-4500.0
29,8669,2024-04-01 07:15:00,default_mpc,0.029,0.0,0.36190720115079505,-0.7711794800034889,0.0,10297.768525580605,optimal_relaxed_modes,0.0011018000077456236,False,,3470.3076600157
30,8670,2024-04-01 07:30:00,default_mpc,0.029,0.0,0.29100578492586665,-0.7711331202571692,0.0,10297.768525580605,optimal_relaxed_modes,0.001103400019928813,False,,3470.099041157261
31,8671,2024-04-01 07:45:00,default_mpc,0.029,0.0,0.32622147973859467,-0.771070579802216,0.0,10297.768525580605,optimal_relaxed_modes,0.0010144000116270036,False,,3469.817609109972
32,8672,2024-04-01 08:00:00,default_mpc,0.15,1879.98,0.3698429382307137,0.8171065485208026,0.0,3151.3673348776024,optimal_relaxed_modes,0.0011407000129111111,False,,-3676.9794683436116
33,8673,2024-04-01 08:15:00,default_mpc,0.029,0.0,0.26152461419564094,-0.7708817130546785,0.0,10297.768525580605,optimal_relaxed_modes,0.0010430999973323196,False,,3468.967708746053
34,8674,2024-04-01 08:30:00,default_mpc,0.029,0.0,0.15903065463041804,-0.7707728418922114,0.0,10297.768525580605,optimal_relaxed_modes,0.0014628000208176672,False,,3468.4777885149515
35,8675,2024-04-01 08:45:00,default_mpc,0.029,0.0,0.19872745075711745,-0.7706592167339819,0.0,10297.768525580605,optimal_relaxed_modes,0.001046599994879216,False,,3467.9664753029183
36,8676,2024-04-01 09:00:00,default_mpc,0.15,2754.72,0.2502734483789586,-0.7705436572374357,0.0,10297.768525580605,optimal_relaxed_modes,0.0011900000099558383,False,,3467.4464575684606
37,8677,2024-04-01 09:15:00,default_mpc,0.029,0.0,0.2865971903709834,-0.7704285503504442,0.0,10297.768525580605,optimal_relaxed_modes,0.001200700004119426,False,,3466.928476576999
38,8678,2024-04-01 09:30:00,default_mpc,0.029,0.0,0.33799606647991026,-0.7703152828881797,0.0,10297.768525580605,optimal_relaxed_modes,0.0014282999909482896,False,,3466.418772996809
39,8679,2024-04-01 09:45:00,default_mpc,0.029,0.0,0.38566648931944353,-0.7702053640756842,0.0,10297.768525580605,optimal_relaxed_modes,0.0013528999988920987,False,,3465.924138340579
40,8680,2024-04-01 10:00:00,default_mpc,0.15,1582.62,0.42987939941889347,1.0,0.0,2332.2627092887005,optimal_relaxed_modes,0.0012482000165618956,False,,-4500.0
41,8681,2024-04-01 10:15:00,default_mpc,0.029,0.0,0.2964143162466431,-0.7700286708701517,0.0,10297.768525580605,optimal_relaxed_modes,0.0017711000109557062,False,,3465.1290189156825
42,8682,2024-04-01 10:30:00,default_mpc,0.029,0.0,0.11665427699147729,-0.7699512755903705,0.0,10297.768525580605,optimal_relaxed_modes,0.0015864000015426427,False,,3464.780740156667
43,8683,2024-04-01 10:45:00,default_mpc,0.029,0.0,0.15340143148488702,-0.7698793925856304,0.0,10297.768525580605,optimal_relaxed_modes,0.0012402000138536096,False,,3464.457266635337
44,8684,2024-04-01 11:00:00,default_mpc,0.083,1845.0,0.20788149200000977,-0.7698090057080927,0.0,10297.768525580605,optimal_relaxed_modes,0.0016441000043414533,False,,3464.1405256864173
45,8685,2024-04-01 11:15:00,default_mpc,0.029,0.0,0.24627266283565638,-0.7697422725246561,0.0,10297.768525580605,optimal_relaxed_modes,0.001112400001147762,False,,3463.8402263609523
46,8686,2024-04-01 11:30:00,default_mpc,0.029,0.0,0.30059684559824396,-0.7696799882564715,0.0,10297.768525580605,optimal_relaxed_modes,0.0012135999859310687,False,,3463.559947154122
47,8687,2024-04-01 11:45:00,default_mpc,0.029,0.0,0.35098017655078734,-0.7696222714087502,0.0,10297.768525580605,optimal_relaxed_modes,0.0010331000084988773,False,,3463.3002213393756
