step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
0,8640,2024-04-01 00:00:00,0.009558104850363689,11.949055301147562,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-2485.6806663299412,11.568227056735783,25.16563797696264,9.35,8.170358934075626,2541.5243580595725,9342.045455324478,10822.041917208553,10822.041917208553,0.0,10822.041917208553,78.45980389976201,0.029,-0.32639492511682583
1,8641,2024-04-01 00:15:00,0.04570481014541149,11.756393361924957,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-2306.042544239757,11.214768102755741,25.165346629302892,9.1,8.076670019768988,2541.5243580595725,9173.834750540396,10822.048545662441,10822.048545662441,0.0,10822.048545662441,78.4598519560527,0.029,-0.32639492511682594
2,8642,2024-04-01 00:30:00,0.11458156133888882,11.389280278063723,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-2139.404144471752,10.88695560424008,25.164904073074766,8.85,7.9796725267558495,2541.5243580595725,9006.621637039905,10822.04507130921,10822.04507130921,0.0,10822.04507130921,78.45982676699178,0.029,-0.32639492511682594
3,8643,2024-04-01 00:45:00,0.17846050219700055,11.048805523289987,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-1984.826106027022,10.582926809800906,25.164420555515566,8.6,7.879413494477389,2541.5243580595725,8851.466052768874,10822.038771889638,10822.03877188964,0.0,10822.038771889638,78.45978109619988,0.029,-0.32639492511682583
4,8644,2024-04-01 01:00:00,0.23770466333923107,10.733034144401898,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1841.4367418246284,10.30095452973442,25.163937471688328,8.375,7.720465015997093,2541.5243580595725,8707.533047326602,10822.029080912906,10822.029080912906,0.0,10822.029080912906,78.45971083661857,0.029,-0.32639492511682594
5,8645,2024-04-01 01:15:00,0.2926506520991119,10.440172024311734,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1708.4272269173744,10.039437231288689,25.163474726863573,8.15,7.560394582458862,2541.5243580595725,8574.020249933219,10822.018294283978,10822.018294283978,0.0,10822.018294283978,78.45963263355884,0.029,-0.32639492511682594
6,8646,2024-04-01 01:30:00,0.3436105829918028,10.168555592653691,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-1585.0470255920975,9.796889864529817,25.163041075958667,7.925000000000001,7.399214223444619,2540.8998162266053,8450.179652060748,10821.382627249344,10821.382627249344,0.0,10821.382627249344,78.45502404755776,0.029,-0.32639492511682583
7,8647,2024-04-01 01:45:00,0.3908738666038785,9.916642291001327,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1470.6131690793793,9.571931836062289,25.162637713714194,7.7,7.236930795170267,2506.3602367935196,8335.312607932403,10786.828681197605,10786.828681197605,0.0,10786.828681197605,78.20450793868264,0.029,-0.32639492511682594
8,8648,2024-04-01 02:00:00,0.4347092060203789,9.68299993191138,0.6953815960242256,0.45,0.0,1.0,1.0,0.0,3503.117236797978,-21.821727348720977,10.227616956313742,28.41590201158372,7.525,7.065067311701726,0.0,0.0,7004.050731857594,7004.050731857592,0.0,7004.050731857594,50.77936780596756,0.029,0.6953815960242256
9,8649,2024-04-01 02:15:00,0.3396361827959926,10.18973914569736,-0.32639492511682594,0.45,0.0,1.0,1.0,0.0,2142.8995737666683,-10.332792847197029,10.618178906612924,28.89300490641671,7.35,6.893202356956057,0.0,0.0,7084.509881016402,7084.509881016401,0.0,7084.509881016402,51.36269663736891,0.029,-0.32639492511682594
10,8650,2024-04-01 02:30:00,0.26682960132756023,10.577798224924104,-0.32639492511682594,0.45,0.0,0.0,1.0,1.0,0.0,-1811.1019297099845,10.361141498195533,25.276062461181322,7.175,6.721333373615715,2541.5243580595725,8722.440345065928,10861.883831877109,10861.88383187711,0.0,10861.883831877109,78.74865778110905,0.029,-0.32639492511682594
11,8651,2024-04-01 02:45:00,0.30423174159264904,10.37844481731118,-0.32639492511682583,0.45,0.0,0.0,1.0,1.0,0.0,-1693.6521423922868,10.095274367157945,25.184720067117453,7.0,6.549457974769758,2541.5243580595725,8579.492554642167,10822.273171488221,10822.273171488221,0.0,10822.273171488221,78.46148049328961,0.029,-0.32639492511682583
