step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,8640,2024-04-01 00:00:00,0.009558104850363689,11.949055301147562,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.94991376539496,25.16563797696264,9.35,8.170358934075626,2053.370178394103,6828.819770384346,10296.363696729191,10296.363696729191,0.0,10296.363696729191,74.64863680128664,0.029,0.0,no_mpc,0.029,0.0,0.009558104850363689,0.0,0.0,0.0,not_used,0.0,False,,0.0
1,8641,2024-04-01 00:15:00,0.009450728632139539,11.949627616390696,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.950486036731442,25.165452307462896,9.1,8.076670019768988,2053.3437172608533,6828.7317695397915,10296.33094360365,10296.330943603652,0.0,10296.33094360365,74.64839934112648,0.029,0.0,no_mpc,0.029,0.0,0.009450728632139539,0.0,0.0,0.0,not_used,0.0,False,,0.0
2,8642,2024-04-01 00:30:00,0.009343357759074767,11.950199903144131,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.951058275386389,25.16523937662371,8.85,7.9796725267558495,2053.312088469517,6828.626582799543,10296.29279304057,10296.292793040575,0.0,10296.29279304057,74.64812274954413,0.029,0.0,no_mpc,0.029,0.0,0.009343357759074767,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,8643,2024-04-01 00:45:00,0.009235992848701332,11.950772158116422,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.95163048017155,25.165004034947422,8.6,7.879413494477389,2053.2773015425055,6828.510893160418,10296.2512370156,10296.2512370156,0.0,10296.2512370156,74.6478214683631,0.029,0.0,no_mpc,0.029,0.0,0.009235992848701332,0.0,0.0,0.0,not_used,0.0,False,,0.0
4,8644,2024-04-01 01:00:00,0.009128634178768122,11.951344379827166,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.952202650122683,25.164760479663503,8.375,7.720465015997093,2053.241114351663,6828.390546713947,10296.20574252271,10296.20574252271,0.0,10296.20574252271,74.64749163328965,0.029,0.0,no_mpc,0.029,0.0,0.009128634178768122,0.0,0.0,0.0,not_used,0.0,False,,0.0
5,8645,2024-04-01 01:15:00,0.009021281950114443,11.95191656720589,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.952774784884422,25.16452268907037,8.15,7.560394582458862,2053.2039494539654,6828.266948742752,10296.158338729343,10296.158338729345,0.0,10296.158338729343,74.64714795578774,0.029,0.0,no_mpc,0.029,0.0,0.009021281950114443,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,8646,2024-04-01 01:30:00,0.008913936290377032,11.95248871957229,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.95334688470906,25.16429857848515,7.925000000000001,7.399214223444619,2053.167330021605,6828.145164806122,10296.111200384683,10296.111200384685,0.0,10296.111200384683,74.64680620278895,0.029,0.0,no_mpc,0.029,0.0,0.008913936290377032,0.0,0.0,0.0,not_used,0.0,False,,0.0
7,8647,2024-04-01 01:45:00,0.008806597213380478,11.953060836852682,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.95391895018708,25.164089896310223,7.7,7.236930795170267,2053.1322014970087,6828.028339128125,10296.06547057861,10296.065470578611,0.0,10296.06547057861,74.64647466169492,0.029,0.0,no_mpc,0.029,0.0,0.008806597213380478,0.0,0.0,0.0,not_used,0.0,False,,0.0
8,8648,2024-04-01 02:00:00,0.008699264632346914,11.953632919509591,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.954490981993528,25.16389818481133,7.525,7.065067311701726,2053.101009989814,6827.924606648109,10296.023310232968,10296.02331023297,0.0,10296.023310232968,74.64616899918902,0.029,0.0,no_mpc,0.029,0.0,0.008699264632346914,0.0,0.0,0.0,not_used,0.0,False,,0.0
9,8649,2024-04-01 02:15:00,0.008591938429511217,11.954204968170705,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,11.955062980854356,25.163714494117965,7.35,6.893202356956057,2053.0717820126806,6827.827404209796,10295.983084259946,10295.98308425995,0.0,10295.983084259946,74.64587736088461,0.029,0.0,no_mpc,0.029,0.0,0.008591938429511217,0.0,0.0,0.0,not_used,0.0,False,,0.0
