step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,17376,2024-07-01 00:00:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
1,17377,2024-07-01 00:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
2,17378,2024-07-01 00:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,17379,2024-07-01 00:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
4,17380,2024-07-01 01:00:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
5,17381,2024-07-01 01:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,17382,2024-07-01 01:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
7,17383,2024-07-01 01:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
8,17384,2024-07-01 02:00:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
9,17385,2024-07-01 02:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
10,17386,2024-07-01 02:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
11,17387,2024-07-01 02:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
12,17388,2024-07-01 03:00:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
13,17389,2024-07-01 03:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
14,17390,2024-07-01 03:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
15,17391,2024-07-01 03:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
16,17392,2024-07-01 04:00:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
17,17393,2024-07-01 04:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
18,17394,2024-07-01 04:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
19,17395,2024-07-01 04:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
20,17396,2024-07-01 05:00:00,no_mpc,0.029,40.8,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
21,17397,2024-07-01 05:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
22,17398,2024-07-01 05:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
23,17399,2024-07-01 05:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
24,17400,2024-07-01 06:00:00,no_mpc,0.029,247.38,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
25,17401,2024-07-01 06:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
26,17402,2024-07-01 06:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
27,17403,2024-07-01 06:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
28,17404,2024-07-01 07:00:00,no_mpc,0.029,761.76,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
29,17405,2024-07-01 07:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
30,17406,2024-07-01 07:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
31,17407,2024-07-01 07:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
32,17408,2024-07-01 08:00:00,no_mpc,0.165,1310.64,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
33,17409,2024-07-01 08:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
34,17410,2024-07-01 08:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
35,17411,2024-07-01 08:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
36,17412,2024-07-01 09:00:00,no_mpc,0.165,2125.5,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
37,17413,2024-07-01 09:15:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
38,17414,2024-07-01 09:30:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
39,17415,2024-07-01 09:45:00,no_mpc,0.029,0.0,0.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
