step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,ite_set_echo,chiller_t_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command
0,17376,2024-07-01 00:00:00,0.0,16.36367167302145,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.364263857330535,25.451811930390868,26.550000000000004,24.471064721091494,2309.2231933578482,6850.374568028072,9996.809297408648,9996.809297408648,0.0,9996.809297408648,72.4768674062127,0.029,0.0
1,17377,2024-07-01 00:15:00,0.0,16.36406647530442,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.364658057217355,25.4341808050897,26.5,24.493252530424748,2311.118971094565,6852.91513071987,9998.500340871127,9998.500340871127,0.0,9998.500340871127,72.48912747131568,0.029,0.0
2,17378,2024-07-01 00:30:00,0.0,16.364460958708687,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.36505147525874,25.41450286173161,26.449999999999996,24.51507596201531,2312.4653168770324,6853.869187930877,9999.496401356082,9999.496401356082,0.0,9999.496401356082,72.4963489098316,0.029,0.0
3,17379,2024-07-01 00:45:00,0.0,16.36485476766774,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.36544402270134,25.58449139808485,26.4,24.536531771133188,2313.5755762935164,6854.167997139754,10004.37152700969,10004.371527009693,0.0,10004.37152700969,72.53169357082027,0.029,0.0
4,17380,2024-07-01 01:00:00,0.0,16.365247750396122,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.365843926943256,25.554800037532022,26.449999999999996,24.584561465842416,2317.9364474445983,6860.622384730524,10005.50172040911,10005.50172040911,0.0,10005.50172040911,72.53988747296604,0.029,0.0
5,17381,2024-07-01 01:15:00,0.0,16.365643976257147,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.366242525943655,25.535121756363797,26.5,24.63259642574291,2318.236812846852,6854.779247704232,10004.771606051721,10004.771606051721,0.0,10004.771606051721,72.53459414387498,0.029,0.0
6,17382,2024-07-01 01:30:00,0.0,16.366043227876105,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.366640254109587,25.521378382951923,26.550000000000004,24.680631849804186,2319.4725237616312,6851.680666398635,10005.286280520822,10005.286280520822,0.0,10005.286280520822,72.53832553377596,0.029,0.0
7,17383,2024-07-01 01:45:00,0.0,16.36644139146182,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.36703736892015,25.509792604932112,26.6,24.728666561657885,2321.32773669543,6850.386707635567,10006.514817120094,10006.514817120096,0.0,10006.514817120094,72.5472324241207,0.029,0.0
8,17384,2024-07-01 02:00:00,0.0,16.366838812946742,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.367433963993165,25.503653432708973,26.650000000000002,24.741761277813463,2321.107829633366,6847.557315414406,10006.802953434124,10006.802953434124,0.0,10006.802953434124,72.5493214123974,0.029,0.0
9,17385,2024-07-01 02:15:00,0.0,16.367235667901,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.367830275615585,25.499873984199063,26.700000000000003,24.754736075344702,2321.281025407989,6846.2331394009425,10006.786060019875,10006.786060019873,0.0,10006.786060019875,72.54919893514409,0.029,0.0
10,17386,2024-07-01 02:30:00,0.0,16.36763212123968,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.368226406161064,25.49707950299175,26.75,24.767582110906844,2321.705728710012,6845.667220895891,10007.041013188886,10007.041013188888,0.0,10007.041013188886,72.55104734561942,0.029,0.0
11,17387,2024-07-01 02:45:00,0.0,16.368028342310645,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.368622398361204,25.494707574205265,26.8,24.7802858043811,2322.2318548425897,6845.418478023836,10007.419737593165,10007.419737593165,0.0,10007.419737593165,72.55379309755045,0.029,0.0
12,17388,2024-07-01 03:00:00,0.0,16.368424403689335,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.369018270552232,25.483283660825315,26.75,24.767582385204197,2323.2035764725424,6849.841028208173,10009.209800144341,10009.209800144341,0.0,10009.209800144341,72.56677105104647,0.029,0.0
13,17389,2024-07-01 03:15:00,0.0,16.368820335890923,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.36941363008161,25.46793843335491,26.700000000000003,24.754754523722315,2323.269475511646,6851.850242812726,10009.361588946047,10009.361588946047,0.0,10009.361588946047,72.56787151985884,0.029,0.0
14,17390,2024-07-01 03:30:00,0.0,16.36921595174479,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.36980830687216,25.45097745676211,26.650000000000002,24.741788717528927,2322.8996686235523,6852.592445990338,10008.980157582453,10008.980157582453,0.0,10008.980157582453,72.56510614247279,0.029,0.0
15,17391,2024-07-01 03:45:00,0.0,16.36961096991221,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.370202230865047,25.433331773313974,26.6,24.728692874699608,2322.345204002456,6852.806439275848,10008.3815450036,10008.3815450036,0.0,10008.3815450036,72.56076620127611,0.029,0.0
16,17392,2024-07-01 04:00:00,0.0,16.370005270286384,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.370595372389595,25.420039680669763,26.6,24.763309995706166,2323.075597483978,6850.51787760857,10007.413941258334,10007.413941258332,0.0,10007.413941258334,72.55375107412293,0.029,0.0
17,17393,2024-07-01 04:15:00,0.0,16.370398803057405,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.370987920332205,25.408618296987118,26.6,24.797892567247825,2324.355442145832,6849.389438171486,10008.171846626497,10008.171846626497,0.0,10008.171846626497,72.55924588804211,0.029,0.0
18,17394,2024-07-01 04:30:00,0.0,16.370791647782113,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37137995586697,25.397943230880305,26.6,24.832423793972488,2325.846694067007,6848.876890502336,10009.221204499487,10009.221204499487,0.0,10009.221204499487,72.56685373262128,0.029,0.0
19,17395,2024-07-01 04:45:00,0.0,16.371183939515337,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.371771511388538,25.57901342133266,26.6,24.86691221673523,2327.4278177954147,6848.620379670842,10014.733575645841,10014.733575645841,0.0,10014.733575645841,72.60681842343236,0.029,0.0
20,17396,2024-07-01 05:00:00,0.0,16.371575735044733,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.372170904472803,25.55733551583762,26.650000000000002,24.88038916193748,2330.7454170640885,6856.25693724294,10016.231290845619,10016.231290845617,40.8,9975.43129084562,72.32187685863074,0.029,0.0
21,17397,2024-07-01 05:15:00,0.0,16.37197120937794,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37256933994362,25.54497518953542,26.700000000000003,24.89373912301124,2329.5719591014204,6850.897101139796,10014.49995519755,10014.49995519755,0.0,10014.49995519755,72.60512467518224,0.029,0.0
22,17398,2024-07-01 05:30:00,0.0,16.37237012365701,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.372967222020513,25.538307298093066,26.75,24.906962204210764,2329.2401939716156,6848.030688621954,10013.86127242556,10013.861272425562,0.0,10013.86127242556,72.60049422508531,0.029,0.0
23,17399,2024-07-01 05:45:00,0.0,16.3727682824235,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37336479765591,25.53373172799015,26.8,24.92005407133069,2329.4839108298843,6846.8738045517985,10013.88239996089,10013.882399960892,0.0,10013.88239996089,72.60064739971646,0.029,0.0
24,17400,2024-07-01 06:00:00,0.0,16.373166011272648,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.373762157623517,25.517457637197705,26.6,24.83208014691589,2327.478267396268,6852.560914873336,10015.163165012647,10015.16316501265,247.38,9767.783165012648,70.8164279463417,0.029,0.0
25,17401,2024-07-01 06:15:00,0.0,16.373563479066572,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.374158794473594,25.496173176492388,26.4,24.742756522070906,2324.0562600066746,6855.142838463796,10012.6009184943,10012.6009184943,0.0,10012.6009184943,72.59135665908367,0.029,0.0
26,17402,2024-07-01 06:30:00,0.0,16.37396047747078,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.374554490894937,25.472906853040303,26.2,24.652094783700907,2320.045958233977,6856.08124384772,10009.295133492224,10009.295133492224,0.0,10009.295133492224,72.56738971781863,0.029,0.0
27,17403,2024-07-01 06:45:00,0.0,16.374356644109614,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37494916095888,25.44887098245725,26.0,24.56011754252521,2315.7806715666097,6856.346014791433,10005.719814285761,10005.719814285761,0.0,10005.719814285761,72.54146865357177,0.029,0.0
28,17404,2024-07-01 07:00:00,0.0,16.37475182736052,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.375342771327873,25.432966233549077,26.25,24.80249667183323,2324.888229349314,6852.28332185591,10004.2894041949,10004.2894041949,761.76,9242.5294041949,67.00833818041303,0.029,0.0
29,17405,2024-07-01 07:15:00,0.0,16.375145967562712,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37573567476219,25.420457117320232,26.5,25.044892014687495,2336.0575188346984,6850.452021333687,10012.961705430103,10012.961705430103,0.0,10012.961705430103,72.59397236436826,0.029,0.0
30,17406,2024-07-01 07:30:00,0.0,16.375539224472362,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.37612801858627,25.56921313389266,26.75,25.28730718102093,2347.880665002363,6849.794851351441,10022.72305949483,10022.723059494829,0.0,10022.72305949483,72.66474218133753,0.029,0.0
31,17407,2024-07-01 07:45:00,0.0,16.37593184809659,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.376526798217313,25.54909885436931,27.0,25.52972925927267,2362.318347326,6855.985963551179,10037.108054640647,10037.108054640647,0.0,10037.108054640647,72.76903339614469,0.029,0.0
32,17408,2024-07-01 08:00:00,0.0,16.376327409849246,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,16.376924688089954,25.549467194157934,27.15,25.397094251001192,2353.1577823559533,6845.314421587261,10036.689670117561,10036.68967011756,1310.64,8726.049670117562,359.9495488923494,0.165,0.0
