step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,0,2024-01-01 00:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0029033999890089035,False,,0.0,-0.0
1,1,2024-01-01 00:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010218000097665936,False,,0.0,-0.0
2,2,2024-01-01 00:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011177999840583652,False,,0.0,-0.0
3,3,2024-01-01 00:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010963999957311898,False,,0.0,-0.0
4,4,2024-01-01 01:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011998999980278313,False,,0.0,-0.0
5,5,2024-01-01 01:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015436999965459108,False,,0.0,-0.0
6,6,2024-01-01 01:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016846000216901302,False,,0.0,-0.0
7,7,2024-01-01 01:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015253000019583851,False,,0.0,-0.0
8,8,2024-01-01 02:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001991099998122081,False,,0.0,-0.0
9,9,2024-01-01 02:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001508399989688769,False,,0.0,-0.0
10,10,2024-01-01 02:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0014816000184509903,False,,0.0,-0.0
11,11,2024-01-01 02:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010694999946281314,False,,0.0,-0.0
12,12,2024-01-01 03:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0009225999820046127,False,,0.0,-0.0
13,13,2024-01-01 03:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012578000023495406,False,,0.0,-0.0
14,14,2024-01-01 03:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001365300006000325,False,,0.0,-0.0
15,15,2024-01-01 03:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001734499994199723,False,,0.0,-0.0
16,16,2024-01-01 04:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016015000001061708,False,,0.0,-0.0
17,17,2024-01-01 04:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015050000220071524,False,,0.0,-0.0
18,18,2024-01-01 04:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011604000173974782,False,,0.0,-0.0
19,19,2024-01-01 04:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010196999937761575,False,,0.0,-0.0
20,20,2024-01-01 05:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001430599979357794,False,,0.0,-0.0
21,21,2024-01-01 05:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012672999873757362,False,,0.0,-0.0
22,22,2024-01-01 05:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001721500011626631,False,,0.0,-0.0
23,23,2024-01-01 05:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001112099998863414,False,,0.0,-0.0
24,24,2024-01-01 06:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012764999992214143,False,,0.0,-0.0
25,25,2024-01-01 06:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012206000101286918,False,,0.0,-0.0
26,26,2024-01-01 06:30:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010995999909937382,False,,0.0,-0.0
27,27,2024-01-01 06:45:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010529000137466937,False,,0.0,-0.0
28,28,2024-01-01 07:00:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013053000147920102,False,,0.0,-0.0
29,29,2024-01-01 07:15:00,default_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0014779999910388142,False,,0.0,-0.0
