step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,0,2024-01-01 00:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001449699979275465,False,,0.0,-0.0
1,1,2024-01-01 00:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010932000004686415,False,,0.0,-0.0
2,2,2024-01-01 00:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012899000139441341,False,,0.0,-0.0
3,3,2024-01-01 00:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0014958000101614743,False,,0.0,-0.0
4,4,2024-01-01 01:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001979099994059652,False,,0.0,-0.0
5,5,2024-01-01 01:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012629000120796263,False,,0.0,-0.0
6,6,2024-01-01 01:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001587199978530407,False,,0.0,-0.0
7,7,2024-01-01 01:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016890999977476895,False,,0.0,-0.0
8,8,2024-01-01 02:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015389999898616225,False,,0.0,-0.0
9,9,2024-01-01 02:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.002116100018611178,False,,0.0,-0.0
10,10,2024-01-01 02:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011766999959945679,False,,0.0,-0.0
11,11,2024-01-01 02:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010532999876886606,False,,0.0,-0.0
12,12,2024-01-01 03:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010190999892074615,False,,0.0,-0.0
13,13,2024-01-01 03:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001436399994418025,False,,0.0,-0.0
14,14,2024-01-01 03:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015260000072885305,False,,0.0,-0.0
15,15,2024-01-01 03:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015170000260695815,False,,0.0,-0.0
16,16,2024-01-01 04:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016685999871697277,False,,0.0,-0.0
17,17,2024-01-01 04:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001782100007403642,False,,0.0,-0.0
18,18,2024-01-01 04:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016818000003695488,False,,0.0,-0.0
19,19,2024-01-01 04:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010682999854907393,False,,0.0,-0.0
20,20,2024-01-01 05:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0009706999990157783,False,,0.0,-0.0
21,21,2024-01-01 05:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.00149049999890849,False,,0.0,-0.0
22,22,2024-01-01 05:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0019077000033576041,False,,0.0,-0.0
23,23,2024-01-01 05:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0014507999876514077,False,,0.0,-0.0
24,24,2024-01-01 06:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0015559000021312386,False,,0.0,-0.0
25,25,2024-01-01 06:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001215199998114258,False,,0.0,-0.0
26,26,2024-01-01 06:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010842999909073114,False,,0.0,-0.0
27,27,2024-01-01 06:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011789000127464533,False,,0.0,-0.0
