step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,q_tes_net_kw_th,tes_set_written
0,0,2024-01-01 00:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012378999963402748,False,,0.0,-0.0
1,1,2024-01-01 00:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011676999856717885,False,,0.0,-0.0
2,2,2024-01-01 00:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016750000067986548,False,,0.0,-0.0
3,3,2024-01-01 00:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011644000187516212,False,,0.0,-0.0
4,4,2024-01-01 01:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001356799970380962,False,,0.0,-0.0
5,5,2024-01-01 01:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.00154669996118173,False,,0.0,-0.0
6,6,2024-01-01 01:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011742000351659954,False,,0.0,-0.0
7,7,2024-01-01 01:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0017751000123098493,False,,0.0,-0.0
8,8,2024-01-01 02:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001137100043706596,False,,0.0,-0.0
9,9,2024-01-01 02:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011609999928623438,False,,0.0,-0.0
10,10,2024-01-01 02:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011610999936237931,False,,0.0,-0.0
11,11,2024-01-01 02:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013019000180065632,False,,0.0,-0.0
12,12,2024-01-01 03:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012881000293418765,False,,0.0,-0.0
13,13,2024-01-01 03:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001187400019261986,False,,0.0,-0.0
14,14,2024-01-01 03:30:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001147200004197657,False,,0.0,-0.0
15,15,2024-01-01 03:45:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012472000089474022,False,,0.0,-0.0
16,16,2024-01-01 04:00:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011495999642647803,False,,0.0,-0.0
17,17,2024-01-01 04:15:00,measured_data_mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001142999972216785,False,,0.0,-0.0
