controller,steps,record_start_step,first_timestamp,last_timestamp,exit_code,elapsed_s,fallback_count,facility_energy_kwh,pv_adjusted_grid_kwh,pv_adjusted_cost,peak_facility_kw,peak_grid_kw,tes_charge_energy_kwh_th,tes_discharge_energy_kwh_th,soc_min,soc_max,soc_final,zone_temp_min_c,zone_temp_max_c,temp_violation_threshold_c,temp_violation_degree_hours_27c,valid_comfort_flag,tes_set_mismatch_count,ite_set_mismatch_count,chiller_t_set_mismatch_count,safety_override_count,temp_guard_charge_block_count,actual_vs_predicted_chiller_power_mae_kw,tes_use_response_count,tes_source_response_count,case_id,season,month,model_source,result_role,tes_set_echo_ok,chiller_t_set_echo_ok,temperature_safe_flag,io_success_flag
no_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,302.11009929998545,0,6452404.43602499,6160984.79602499,560277.4195213248,10310.90997659808,10308.703837483616,0.0,0.0,0.7084251465914271,1.0,0.7084251465914271,24.565477993785684,25.24103278715033,27.0,0.0,True,0,0,0,0,0,1092.257415303162,0,0,winter_no_mpc,winter,January,none,io_coupling_diagnostic,True,True,True,True
tes_only_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,439.490758800006,0,5618422.730090985,5327003.090090986,483166.3302164072,10878.42221042119,10874.334251579428,178547.26403882523,274303.46046672494,0.091803885031516,1.0,1.0,24.55878632389682,29.77195449111678,27.0,167.16949953934335,False,0,0,0,0,0,457.6656597274446,1291,596,winter_tes_only_mpc,winter,January,default_proxy,io_coupling_diagnostic,True,True,False,True
io_coupled_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,416.89302840002347,0,5636869.282120099,5345449.642120099,485040.13931428094,10832.239943953557,10832.239943953557,150306.51956618932,262424.01510410744,0.0511334426448307,1.0,1.0,24.55929354744188,29.88533054599808,27.0,159.42346651456114,False,0,0,0,673,161,433.8529327623936,1268,431,winter_io_coupled_mpc,winter,January,default_proxy,io_coupling_diagnostic,True,True,False,True
io_coupled_measured_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,409.7851090999902,0,5686837.209719282,5395417.569719282,488010.93446642667,10832.224755454998,10832.224755454998,167487.26689796243,262880.63028350566,0.0947598210329373,1.0,1.0,24.559033408745744,29.67001272079132,27.0,134.05367383056011,False,0,0,0,621,192,316.44422313017213,1197,499,winter_io_coupled_measured_mpc,winter,January,measured_sampling,io_coupling_diagnostic,True,True,False,True
no_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,296.8395007000072,0,7258566.220001824,6440340.940001824,556585.8751617505,10346.166940958932,10344.72689115814,0.0,0.0,0.0,0.0095581048503636,0.0,25.147568967039515,29.126767640182933,27.0,386.1742146448858,False,0,0,0,0,0,2068.817696497194,0,0,spring_no_mpc,spring,April,none,io_coupling_diagnostic,True,True,False,True
tes_only_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,418.90293020004174,0,7123214.447999259,6304989.167999258,539627.4898175905,10875.585141975922,10873.914582577563,924683.5222656088,682672.9080427187,0.0,0.6816229598867831,0.2206381299555082,25.14613835412739,33.28837578609394,27.0,549.9062103450129,False,0,0,0,0,0,799.6957475675787,430,2406,spring_tes_only_mpc,spring,April,default_proxy,io_coupling_diagnostic,True,True,False,True
io_coupled_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,434.2851035000058,0,7208859.810772422,6390634.5307724215,549473.3454809915,10842.61394886116,10842.61394886116,430894.0257969271,289090.47901978524,0.0,0.6861099860521839,0.1741381369972827,25.14660842693482,32.98595407981013,27.0,467.3037113768414,False,0,0,0,1671,1603,633.9635371983974,178,1058,spring_io_coupled_mpc,spring,April,default_proxy,io_coupling_diagnostic,True,True,False,True
io_coupled_measured_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,407.91089350002585,0,7212675.102602294,6394449.822602294,548231.8646517796,10847.056039767,10847.056039767,425592.0325367766,264247.82365528867,0.0,0.7522968809205509,0.2474355346570227,25.14675817160579,33.27628468877185,27.0,461.5263595314712,False,0,0,0,1657,1612,488.02626985270575,160,1078,spring_io_coupled_measured_mpc,spring,April,measured_sampling,io_coupling_diagnostic,True,True,False,True
no_mpc,2880,17376,2024-07-01 00:00:00,2024-07-30 23:45:00,0,304.38770769996336,0,7204592.241036056,6817867.281036055,631253.2364790698,10343.769650971017,10299.072964468169,0.0,0.0,0.0,0.0,0.0,25.397943230880305,25.746452734614135,27.0,0.0,True,0,0,0,0,0,2320.036675649711,0,0,summer_no_mpc,summer,July,none,io_coupling_diagnostic,True,True,True,True
tes_only_mpc,2880,17376,2024-07-01 00:00:00,2024-07-30 23:45:00,0,436.1131098999758,0,7101340.446073356,6714615.486073356,614320.4805617582,10769.754058264769,10728.153464088786,929490.4016905066,678504.6072516153,0.0,0.6768336740135968,0.2382425250522084,25.36787667348449,33.372127478802845,27.0,551.4382590525005,False,0,0,0,0,0,673.1156898631353,407,2455,summer_tes_only_mpc,summer,July,default_proxy,io_coupling_diagnostic,True,True,False,True
