case_id,family,purpose,ite_set,chiller_t_set,tes_set,seed,identification_only,run_mode,expected_raw_output_dir
baseline_reuse_ite045_chiller000_tes000,baseline_reuse,baseline_reference,0.45,0.0,0.0,,False,reuse_existing_baseline,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_nanjing
plant_ite035_chiller000,plant_only,plant_chiller_load_identification,0.35,0.0,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite035_chiller000
plant_ite035_chiller050,plant_only,plant_chiller_load_identification,0.35,0.5,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite035_chiller050
plant_ite035_chiller100,plant_only,plant_chiller_load_identification,0.35,1.0,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite035_chiller100
plant_ite045_chiller050,plant_only,plant_chiller_load_identification,0.45,0.5,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite045_chiller050
plant_ite045_chiller100,plant_only,plant_chiller_load_identification,0.45,1.0,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite045_chiller100
plant_ite055_chiller000,plant_only,plant_chiller_load_identification,0.55,0.0,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite055_chiller000
plant_ite055_chiller050,plant_only,plant_chiller_load_identification,0.55,0.5,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite055_chiller050
plant_ite055_chiller100,plant_only,plant_chiller_load_identification,0.55,1.0,0.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_plant_ite055_chiller100
tes_pulse_neg1p00,tes_pulse,tes_source_use_soc_identification,0.45,0.5,-1.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_neg1p00
tes_pulse_neg0p75,tes_pulse,tes_source_use_soc_identification,0.45,0.5,-0.75,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_neg0p75
tes_pulse_neg0p50,tes_pulse,tes_source_use_soc_identification,0.45,0.5,-0.5,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_neg0p50
tes_pulse_neg0p25,tes_pulse,tes_source_use_soc_identification,0.45,0.5,-0.25,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_neg0p25
tes_pulse_pos0p25,tes_pulse,tes_source_use_soc_identification,0.45,0.5,0.25,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_pos0p25
tes_pulse_pos0p50,tes_pulse,tes_source_use_soc_identification,0.45,0.5,0.5,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_pos0p50
tes_pulse_pos0p75,tes_pulse,tes_source_use_soc_identification,0.45,0.5,0.75,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_pos0p75
tes_pulse_pos1p00,tes_pulse,tes_source_use_soc_identification,0.45,0.5,1.0,,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_tes_pulse_pos1p00
combined_seed_0,combined,combined_interaction_validation,,,,0,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_0
combined_seed_1,combined,combined_interaction_validation,,,,1,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_1
combined_seed_2,combined,combined_interaction_validation,,,,2,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_2
combined_seed_3,combined,combined_interaction_validation,,,,3,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_3
combined_seed_4,combined,combined_interaction_validation,,,,4,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_4
combined_seed_5,combined,combined_interaction_validation,,,,5,True,energyplus_runtime,C:\Users\18430\Desktop\毕业设计代码\Nanjing-DataCenter-TES-EnergyPlus\out\energyplus_sampling_combined_seed_5
