case_id,controller,steps,cost_total,whole_facility_energy_cost,plant_energy_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,cap_ratio,peak_cap_kw,phase_d_track,peak_reduction_kw,cost_increase_vs_no_cap
strict_cap_1p0_mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.010599700006423518,0.010599700006423518,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,1.0,18383.9328,strict,0.0,0.0
relaxed_cap_1p0_mpc_no_tes,mpc_no_tes,96,19273.792697813155,19273.792697813155,322.37122781315486,434029.14,7115.040000000001,5085.9,0.0,18320.176799999997,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.011536100006196648,0.011536100006196648,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,1.0,18383.9328,relaxed,63.75600000000122,-70.7761288677757
strict_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,19216.043232725613,19216.043232725613,264.62176272561584,435379.5573523242,8465.457352324109,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.4979246263553488,0.7259650518253544,0,7643.247214799183,7118.506323338005,0.038472141385988146,0.13932347747498558,0.10085133608899743,0.02620639998349361,0.02620639998349361,optimal,strict,True,,1.2212453270876722e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9829338969479551,34,0,1.0,18383.9328,strict,0.0,-128.52559395531716
relaxed_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,19159.387464202417,19159.387464202417,207.96599420241355,434085.34117939364,7171.241179393572,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.20417956680426944,0.6163031920695128,0,13933.099120265495,13523.618760385189,0.029000000000000005,0.09151496437944974,0.06251496437944973,0.014812199980951846,0.014812199980951846,optimal_relaxed_modes,relaxed,False,,0.42503387978142104,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.8413884275924959,37,0,1.0,18383.9328,relaxed,0.0,-185.18136247851362
strict_cap_0p99_mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,183.83932800000184,3398.213641871138,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.010819999995874241,0.010819999995874241,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.99,18200.093471999997,strict,0.0,0.0
relaxed_cap_0p99_mpc_no_tes,mpc_no_tes,96,19273.792697813155,19273.792697813155,322.37122781315486,434029.14,7115.040000000001,5085.9,0.0,18320.176799999997,120.08332800000062,2020.7802984667742,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.011897599993972108,0.011897599993972108,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.99,18200.093471999997,relaxed,63.75600000000122,-70.7761288677757
strict_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,19421.256552487805,19421.256552487805,469.83508248780475,434837.5076501287,7923.407650128693,5085.9,0.0,18384.6132,184.5197280000031,1141.039530153308,0.5,0.5,0.15,0.35,-0.35,0.15,0.5,0,11850.510808305726,17949.1802517288,0.09754791451596143,0.030494978774718687,-0.06705293574124274,0.0262302000191994,0.0262302000191994,optimal,strict,True,,6.661338147750939e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.3071655159955773,24,0,0.99,18200.093471999997,strict,-0.6804000000011001,76.68772580687437
relaxed_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,19357.412417282885,19357.412417282885,405.9909472828845,433656.5911978304,6742.491197830335,5085.9,0.0,18200.093471999997,0.0,0.0,0.5,0.5,0.3274286918698637,0.17257130813013632,-0.17257130813013632,0.2714276320288332,0.6554665166557023,0,12008.972650616435,14723.35372289086,0.09757145082971605,0.03820337074039528,-0.05936808008932077,0.014543800003593788,0.014543800003593788,optimal_relaxed_modes,relaxed,False,,0.4914813551912611,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.1773614670754624,24,0,0.99,18200.093471999997,relaxed,183.83932800000184,12.84359060195493
strict_cap_0p97_mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,551.5179840000019,11232.062984024615,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.010207299987087026,0.010207299987087026,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.97,17832.414815999997,strict,0.0,0.0
relaxed_cap_0p97_mpc_no_tes,mpc_no_tes,96,19273.792697813155,19273.792697813155,322.37122781315486,434029.14,7115.040000000001,5085.9,0.0,18320.176799999997,487.76198400000067,9821.702406169668,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.010929100011708215,0.010929100011708215,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.97,17832.414815999997,relaxed,63.75600000000122,-70.7761288677757
strict_cap_0p97_paper_like_mpc_tes,paper_like_mpc_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,strict,False,Kim-lite MILP infeasible or failed: Time limit reached. (HiGHS Status 13: Time limit reached),,Kim-lite MILP infeasible or failed: Time limit reached. (HiGHS Status 13: Time limit reached),,-1,-1,0.97,17832.414815999997,strict,,
relaxed_cap_0p97_paper_like_mpc_tes,paper_like_mpc_tes,96,19350.69352964303,19350.69352964303,399.2720596430295,433186.0070185819,6271.907018581886,5085.9,0.0,18320.91795,488.5031340000023,7573.474449342316,0.5,0.5,0.15,0.35,-0.35,0.15,0.5,0,10299.586159630093,16442.63156158356,0.10069664925201126,0.029,-0.07169664925201126,0.01601339998887852,0.01601339998887852,optimal_relaxed_modes,relaxed,False,,0.45885718032787315,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4923432754676416,31,0,0.97,17832.414815999997,relaxed,63.01484999999957,6.124702962100855
strict_cap_0p95_mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,919.1966400000019,19184.224880566962,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.011315899988403544,0.011315899988403544,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.95,17464.736159999997,strict,0.0,0.0
relaxed_cap_0p95_mpc_no_tes,mpc_no_tes,96,19273.792697813155,19273.792697813155,322.37122781315486,434029.14,7115.040000000001,5085.9,0.0,18320.176799999997,855.4406400000007,17740.78786276044,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.012295799999265,0.012295799999265,optimal_relaxed_modes,relaxed,False,,0.2916,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.95,17464.736159999997,relaxed,63.75600000000122,-70.7761288677757
strict_cap_0p95_paper_like_mpc_tes,paper_like_mpc_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,strict,False,Kim-lite MILP infeasible or failed: Time limit reached. (HiGHS Status 13: Time limit reached),,Kim-lite MILP infeasible or failed: Time limit reached. (HiGHS Status 13: Time limit reached),,-1,-1,0.95,17464.736159999997,strict,,
