case_id,controller,steps,cost_total,energy_cost,whole_facility_energy_cost,plant_energy_cost,peak_slack_penalty_cost,objective_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,peak_cap_success_flag,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_discharge_during_cp_kwh_th,TES_charge_during_valley_kwh_th,grid_reduction_during_cp_kwh,cp_hours,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,plant_tracking_error_abs_max_kw_th,scenario,spread_gamma,critical_peak_uplift
flat_mpc_no_tes,mpc_no_tes,96,39092.38632,39092.38632,39092.38632,808.34112,0.0,39092.38632,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.006291300000157207,0.006291300000157207,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,flat,0.0,0.0
flat_paper_like_mpc_tes,paper_like_mpc_tes,96,38947.76429863056,38947.76429863056,38947.76429863056,663.7190986305625,0.0,38947.76429863057,418793.1645014039,7136.764501403897,20343.6,0.0,18930.855310108043,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.5,0,6419.698452237359,6261.414289003137,0.0,6419.698452237359,0.0,3.0,0.09300000000000001,0.093,-1.3877787807814457e-17,0.006679999991320074,0.006679999991320074,optimal_relaxed_modes,relaxed,False,,0.44495330015540663,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000001,0,0,0.0,flat,0.0,0.0
base_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,39049.6711420425,815.5133980425037,0.0,39049.671142042505,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.00420329999178648,0.00420329999178648,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,base,1.0,0.0
base_paper_like_mpc_tes,paper_like_mpc_tes,96,38672.60256520056,38672.60256520056,38672.60256520056,438.44482120056614,0.0,38672.60256520056,418834.59762323846,7178.197623238504,20343.6,0.0,18929.722572827566,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,27069.687964791337,26609.523132452512,578.5940258945177,16863.863636526145,79.41203005402257,3.0,0.05808728087130187,0.12236031464316373,0.06427303377186186,0.006616299971938133,0.006616299971938133,optimal_relaxed_modes,relaxed,False,,0.4953927628564213,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000008,0,0,0.0,base,1.0,0.0
base_cp20_mpc_no_tes,mpc_no_tes,96,39558.14199667602,39558.14199667602,39558.14199667602,826.7562366760233,0.0,39558.14199667602,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.004047399968840182,0.004047399968840182,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,base_cp20,1.0,0.2
base_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,39181.82515054351,39181.82515054351,39181.82515054351,450.43939054350835,0.0,39181.82515054351,418833.8017202362,7177.401720236219,20343.6,0.0,18929.722572827566,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,26914.308112030965,26459.94220867053,1274.3101487487766,12670.934573958602,174.8990679157696,3.0,0.059070303960539625,0.12293800295902782,0.0638676989984882,0.006521800009068102,0.006521800009068102,optimal_relaxed_modes,relaxed,False,,0.4917262598313979,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000005,0,0,0.0,base_cp20,1.0,0.2
high_spread_mpc_no_tes,mpc_no_tes,96,40517.532791794074,40517.532791794074,40517.532791794074,852.601763794074,0.0,40517.532791794074,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0040269999881275,0.0040269999881275,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,high_spread,2.0,0.0
high_spread_paper_like_mpc_tes,paper_like_mpc_tes,96,39911.94229517339,39911.94229517339,39911.94229517339,247.01126717339184,0.0,39911.9422951734,419315.90906609304,7659.509066093053,20343.6,0.0,18929.722572827566,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,27069.687964791337,26609.523132452512,578.5940258945177,16863.863636526145,79.41203005402257,3.0,0.029030570071533424,0.1540086621839324,0.12497809211239896,0.006461800017859787,0.006461800017859787,optimal_relaxed_modes,relaxed,False,,0.4953927628564213,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000008,0,0,0.0,high_spread,2.0,0.0
high_spread_cp20_mpc_no_tes,mpc_no_tes,96,40903.85314465406,40903.85314465406,40903.85314465406,861.0486542540598,0.0,40903.85314465406,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.004512000014074147,0.004512000014074147,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,high_spread_cp20,2.0,0.2
high_spread_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,40297.180429875676,40297.180429875676,40297.180429875676,254.37593947567436,0.0,40297.18042987568,419316.3028397366,7659.902839736658,20343.6,0.0,18929.722572827566,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,26481.37093519522,26019.05104835068,613.1254000110569,16855.153199842065,84.15146115151755,3.0,0.02835386223054605,0.15603151727683962,0.12767765504629355,0.006589099997654557,0.006589099997654557,optimal_relaxed_modes,relaxed,False,,0.4953927628564213,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000005,0,0,0.0,high_spread_cp20,2.0,0.2
representative_direct_no_tes,direct_no_tes,96,39558.14199667602,39558.14199667602,39558.14199667602,826.7562366760233,0.0,39558.14199667602,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.00010260002454742789,0.00010260002454742789,direct_no_tes,fixed,True,,0.0,,0.0,0,0,0.0,representative_base_cp20,1.0,0.2
representative_mpc_no_tes,mpc_no_tes,96,39558.14199667602,39558.14199667602,39558.14199667602,826.7562366760233,0.0,39558.14199667602,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.004196599998977035,0.004196599998977035,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,representative_base_cp20,1.0,0.2
representative_storage_priority_tes,storage_priority_tes,96,39272.07566877456,39272.07566877456,39272.07566877456,540.6899087745512,0.0,39272.07566877456,419096.94719343295,7440.547193433007,20343.6,0.0,18940.0464,0.0,0.0,True,0.5,0.5,0.15,0.35,-0.35,0.15,0.849594530547207,0,6548.152746165608,12371.905179236972,0.0,6526.55274616561,0.0,3.0,0.04207378713806721,0.1545709835758428,0.1124971964377756,0.00034819997381418943,0.00034819997381418943,storage_priority,fixed,True,,0.0,,0.6184899993777471,6,0,0.0,representative_base_cp20,1.0,0.2
representative_storage_priority_neutral_tes,storage_priority_neutral_tes,96,39319.12369588691,39319.12369588691,39319.12369588691,587.7379358869097,0.0,39319.12369588691,419908.16166629497,8251.761666295039,20343.6,0.0,18940.0464,0.0,0.0,True,0.5,0.5,0.49999999999999983,1.6653345369377348e-16,-1.6653345369377348e-16,0.48931971683015135,0.8500000099999994,0,12986.362848245204,12371.905179236972,0.0,6534.210572612171,0.0,3.0,0.04996800358552125,0.1545709835758428,0.10460297999032156,0.00027660001069307327,0.00027660001069307327,storage_priority_neutral,fixed,True,,0.0,,1.0,9,0,0.0,representative_base_cp20,1.0,0.2
representative_paper_like_mpc_tes,paper_like_mpc_tes,96,39181.82515054351,39181.82515054351,39181.82515054351,450.43939054350835,0.0,39181.82515054351,418833.8017202362,7177.401720236219,20343.6,0.0,18929.722572827566,0.0,0.0,True,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,26914.308112030965,26459.94220867053,1274.3101487487766,12670.934573958602,174.8990679157696,3.0,0.059070303960539625,0.12293800295902782,0.0638676989984882,0.00653840001905337,0.00653840001905337,optimal_relaxed_modes,relaxed,False,,0.4917262598313979,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.2500000000000005,0,0,0.0,representative_base_cp20,1.0,0.2
