case_id,controller,steps,cost_total,whole_facility_energy_cost,plant_energy_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,soc_initial,soc_final,soc_delta,soc_min,soc_max,TES_charge_kwh_th,TES_discharge_kwh_th,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,scenario,spread_gamma,critical_peak_uplift
flat_mpc_no_tes,mpc_no_tes,96,19550.727605336186,19550.727605336186,391.53571133618584,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.01002450002124533,0.01002450002124533,optimal,0.0,0,0,flat,0.0,0.0
flat_paper_like_mpc_tes,paper_like_mpc_tes,96,19463.381757175986,19463.381757175986,304.189863175984,434191.3694539709,7277.269453970908,5085.9,0.0,18950.88618276389,0.0,0.0,0.5,0.5,0.0,0.14999999999999938,0.5,34678.22899840424,34476.40793514307,0.041800000000000004,0.046704388802204434,0.0049043888022044305,0.12655340001219884,0.12655340001219884,optimal,1.5184000000000002,49,0,flat,0.0,0.0
base_mpc_no_tes,mpc_no_tes,96,19344.56882668093,19344.56882668093,393.14735668092897,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.009927799983415753,0.009927799983415753,optimal,0.0,0,0,base,1.0,0.0
base_paper_like_mpc_tes,paper_like_mpc_tes,96,19162.4750021688,19162.4750021688,211.05353216879965,434191.80800582067,7277.7080058206775,5085.9,0.0,18950.88618276389,0.0,0.0,0.5,0.5,0.0,0.14999999999999977,0.5,34710.55381791451,34505.25218441707,0.029,0.05350144518777181,0.024501445187771805,0.1370734999945853,0.1370734999945853,optimal,1.5184000000000002,47,0,base,1.0,0.0
base_cp20_mpc_no_tes,mpc_no_tes,96,20719.66820516051,20719.66820516051,422.0991359605081,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.008648000017274171,0.008648000017274171,optimal,0.0,0,0,base_cp20,1.0,0.2
base_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,20508.622601368803,20508.622601368803,211.05353216879965,434191.80800582067,7277.7080058206775,5085.9,0.0,18950.88618276389,0.0,0.0,0.5,0.5,0.0,0.14999999999999977,0.5,34710.55381791451,34505.25218441707,0.029,0.058528556405131826,0.029528556405131825,0.12347599997883663,0.12347599997883663,optimal,1.5184000000000002,47,0,base_cp20,1.0,0.2
high_spread_mpc_no_tes,mpc_no_tes,96,19138.41004802567,19138.41004802567,394.7590020256722,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.009090200008358806,0.009090200008358806,optimal,0.0,0,0,high_spread,2.0,0.0
high_spread_paper_like_mpc_tes,paper_like_mpc_tes,96,18861.56133882665,18861.56133882665,117.91029282665467,434192.5131374478,7278.41313744782,5085.9,0.0,18950.88618276389,0.0,0.0,0.5,0.5,0.0,0.14999999999999997,0.5,34729.36811460019,34518.470198347655,0.016199999999999996,0.0602857133126651,0.0440857133126651,0.14307799999369308,0.14307799999369308,optimal,1.5184000000000002,52,0,high_spread,2.0,0.0
high_spread_cp20_mpc_no_tes,mpc_no_tes,96,21421.260641140747,21421.260641140747,442.76513674074863,435605.93999999994,8691.84,5085.9,0.0,18383.9328,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.009376900008646771,0.009376900008646771,optimal,0.0,0,0,high_spread_cp20,2.0,0.2
high_spread_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,21096.377121531244,21096.377121531244,117.88161713124364,434190.7430327928,7276.643032792818,5085.9,0.0,18950.74653067772,0.0,0.0,0.5,0.5,0.0,0.14999999999999997,0.5,34676.52122419956,34479.671757589895,0.0162,0.06867815599585111,0.052478155995851115,0.15732999998726882,0.15732999998726882,optimal,1.5183177826523624,52,0,high_spread_cp20,2.0,0.2
