case_id,controller,steps,cost_total,whole_facility_energy_cost,plant_energy_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,plant_tracking_error_abs_max_kw_th,cap_ratio,peak_cap_kw,phase_d_track,peak_reduction_kw,cost_increase_vs_no_cap
strict_cap_1p0_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,815.5133980425037,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.007410599966533482,0.007410599966533482,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,1.0,18383.9328,strict,0.0,0.0
relaxed_cap_1p0_mpc_no_tes,mpc_no_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,relaxed,False,relaxed mode is only allowed for single-mode proxy tests,,relaxed mode is only allowed for single-mode proxy tests,,-1,-1,,1.0,18383.9328,relaxed,,
strict_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,38762.25936332794,38762.25936332794,528.1016193279395,419510.02083474194,7853.6208347418815,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.39723323310849146,0.85,0,22227.92471146054,21737.600626207503,0.0640618681650959,0.12826397679993448,0.06420210863483858,0.09604879998369142,0.09604879998369142,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5071529003975634,14,0,0.0,1.0,18383.9328,strict,0.0,-287.41177871455875
relaxed_cap_1p0_paper_like_mpc_tes,paper_like_mpc_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,relaxed,False,relaxed mode is only allowed for single-mode proxy tests,,relaxed mode is only allowed for single-mode proxy tests,,-1,-1,,1.0,18383.9328,relaxed,,
strict_cap_0p99_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,815.5133980425037,420348.24,8691.84,20343.6,0.0,18383.9328,183.83932800000184,1910.3685651863843,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.007640300027560443,0.007640300027560443,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.99,18200.093471999997,strict,0.0,0.0
relaxed_cap_0p99_mpc_no_tes,mpc_no_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,relaxed,False,relaxed mode is only allowed for single-mode proxy tests,,relaxed mode is only allowed for single-mode proxy tests,,-1,-1,,0.99,18200.093471999997,relaxed,,
strict_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,38869.336164769076,38869.336164769076,635.1784207690768,419781.7347404287,8125.334740428596,20343.6,0.0,18306.64470547458,106.55123347458533,119.15067101821268,0.5,0.5,0.3989050300978945,0.10109496990210548,-0.10109496990210548,0.15,0.85,0,22320.828567171422,23781.18777011907,0.06804236534605675,0.10777843050515631,0.03973606515909957,0.029421199986245483,0.029421199986245483,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5071529003975634,12,0,0.0,0.99,18200.093471999997,strict,77.28809452541827,-180.33497727342183
relaxed_cap_0p99_paper_like_mpc_tes,paper_like_mpc_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,relaxed,False,relaxed mode is only allowed for single-mode proxy tests,,relaxed mode is only allowed for single-mode proxy tests,,-1,-1,,0.99,18200.093471999997,relaxed,,
strict_cap_0p97_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,815.5133980425037,420348.24,8691.84,20343.6,0.0,18383.9328,551.5179840000019,6773.369381216552,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.007707699958700687,0.007707699958700687,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,0.97,17832.414815999997,strict,0.0,0.0
relaxed_cap_0p97_mpc_no_tes,mpc_no_tes,96,,,,,,,,,,,0.5,0.5,,,,,,-1,,,,,,,,failed,relaxed,False,relaxed mode is only allowed for single-mode proxy tests,,relaxed mode is only allowed for single-mode proxy tests,,-1,-1,,0.97,17832.414815999997,relaxed,,
