scenario_id,location_id,pv_capacity_mwp,tes_capacity_mwh_th,critical_peak_uplift,critical_peak_window_set,controller,run_dir,status,facility_energy_kwh,grid_import_kwh,pv_generation_kwh,pv_spill_kwh,pv_used_kwh,pv_self_consumption_ratio,pv_facility_load_coverage_ratio,peak_grid_kw,total_cost,energy_cost,critical_peak_duration_h,critical_peak_grid_kwh,critical_peak_avg_grid_kw,critical_peak_pv_used_kwh,critical_peak_tes_discharge_kwh_th,critical_peak_tes_charge_kwh_th,tes_charge_kwh_th,tes_discharge_kwh_th,tes_discharge_cp_ratio,tes_effective_capacity_kwh_th,tes_cp_capacity_utilization,soc_initial,soc_final,soc_delta,soc_min_observed,soc_max_observed,grid_balance_max_abs_error_kw,signed_valve_max_abs_delta,signed_valve_violation_max,peak_reduction_kw,peak_reduction_ratio,critical_peak_cost_impact,critical_peak_suppression_ratio,critical_peak_grid_reduction_kwh,marginal_cp_suppression_per_mwh,marginal_peak_reduction_per_mwp,diminishing_return_after_this_capacity,is_pareto_frontier,pareto_rank,is_recommended
phase3_nanjing_pv0mwp_tes0mwh_cp00,nanjing,0.0,0.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes0mwh_cp00,completed,1686187.9901001842,1686187.9901001842,0.0,0.0,0.0,,0.0,10223.316749332938,156907.65319029923,156907.65319029923,28.0,281521.8176246728,10054.3506294526,0.0,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv0mwp_tes0mwh_cp20,nanjing,0.0,0.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes0mwh_cp20,completed,1686187.9901001842,1686187.9901001842,0.0,0.0,0.0,,0.0,10223.316749332938,165538.2112893726,165538.2112893726,28.0,281521.8176246728,10054.3506294526,0.0,0.0,0.0,0.0,0.0,,0.0,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,8630.558099073358,0.0,0.0,,,False,True,1.0,False
phase3_nanjing_pv0mwp_tes9mwh_cp00,nanjing,0.0,9.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes9mwh_cp00,completed,1686568.5414103942,1686568.5414103942,0.0,0.0,0.0,,0.0,10223.316749332938,156882.2129650522,156882.2129650522,28.0,281472.30706526985,10052.582395188208,0.0,281.25,35.04509110453059,3496.932662017187,1459.678700889236,0.19267938884678013,6300.0,0.044642857142857144,0.5,0.5120002868449297,0.012000286844929708,0.49500728801753685,0.5720944885830033,0.0,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv0mwp_tes9mwh_cp20,nanjing,0.0,9.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes9mwh_cp20,completed,1686610.0102415504,1686610.0102415504,0.0,0.0,0.0,,0.0,10223.316749332938,165448.73901800116,165448.73901800116,28.0,280075.37006950215,10002.691788196506,0.0,7265.934978838614,35.04509110453059,9823.97376303516,7336.027911471922,0.9904453835946155,6300.0,1.1533230125140659,0.5,0.5176772409674982,0.01767724096749823,0.15,0.5367111128620574,0.0,0.25,0.0,0.0,0.0,8566.52605294896,0.007419224271402847,1446.4475551706273,0.0008243582523780941,,False,True,1.0,False
phase3_nanjing_pv0mwp_tes18mwh_cp00,nanjing,0.0,18.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes18mwh_cp00,completed,1686916.8057825626,1686916.8057825626,0.0,0.0,0.0,,0.0,10223.316749332938,156889.87728670184,156889.87728670184,28.0,281473.7425177564,10052.633661348444,0.0,281.25,42.50944403444892,5587.696510915137,1728.7066947576677,0.16269388025909506,12600.0,0.022321428571428572,0.5,0.5120002868449297,0.012000286844929708,0.4959238172174281,0.5574553422788491,0.0,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv0mwp_tes18mwh_cp20,nanjing,0.0,18.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes18mwh_cp20,completed,1686869.33309521,1686869.33309521,0.0,0.0,0.0,,0.0,10223.316749332938,165365.3873199224,165365.3873199224,28.0,279460.9427797699,9980.747956420353,0.0,10345.248689932505,42.50944403444892,14341.193779963283,10382.8944286821,0.9963742539223358,12600.0,0.8210514833279766,0.5,0.5074325314205652,0.007432531420565214,0.15,0.5197459387339125,0.0,0.25,0.0,0.0,0.0,8475.510033220547,0.017965010382058333,2060.8748449028935,0.001171754012295054,,False,True,1.0,False
phase3_nanjing_pv0mwp_tes36mwh_cp00,nanjing,0.0,36.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes36mwh_cp00,completed,1687569.5026885588,1687569.5026885588,0.0,0.0,0.0,,0.0,10223.316749332938,156951.33195958525,156951.33195958525,28.0,281476.6134227294,10052.736193668909,0.0,281.25,57.438149894285566,8208.693036767378,985.4111319414981,0.2854138652217877,25200.0,0.011160714285714286,0.5,0.5120002868449297,0.012000286844929708,0.4913631590484876,0.5364739103699042,0.0,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv0mwp_tes36mwh_cp20,nanjing,0.0,36.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes36mwh_cp20,completed,1687356.0081493645,1687356.0081493645,0.0,0.0,0.0,,0.0,10223.316749332938,165280.28254257084,165280.28254257084,28.0,278232.23420591216,9936.865507354005,0.0,16503.146084086307,57.438149894285566,23236.965783187,16503.146084086307,1.0,25200.0,0.6548867493685042,0.5,0.5001117245506755,0.00011172455067554043,0.15,0.5197423546581242,0.0,0.25,0.0,0.0,0.0,8328.950582985592,0.034946467264978964,3289.5834187606233,0.0009434142712733684,,False,True,1.0,False
phase3_nanjing_pv0mwp_tes72mwh_cp00,nanjing,0.0,72.0,0.0,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes72mwh_cp00,completed,1688858.7309108889,1688858.7309108889,0.0,0.0,0.0,,0.0,10223.316749332938,157020.67152686743,157020.67152686743,28.0,281482.3552326755,10052.94125830984,0.0,281.25,87.29556161395885,15057.852215665236,1125.0,0.25,50400.0,0.005580357142857143,0.5,0.5120002868449297,0.012000286844929708,0.46743528756396574,0.5197412970142209,0.0,0.25,0.0,0.0,0.0,0.0,,,,,False,False,,False
phase3_nanjing_pv0mwp_tes72mwh_cp20,nanjing,0.0,72.0,0.2,evening,paper_like_mpc_tes_relaxed,results\phase3_pv_tes_sizing\pilot_nanjing_real_ep_pvgis\runs\phase3_nanjing_pv0mwp_tes72mwh_cp20,completed,1688321.3147408902,1688321.3147408902,0.0,0.0,0.0,,0.0,10223.316749332938,165061.6096190931,165061.6096190931,28.0,276253.7185873103,9866.204235261082,0.0,26868.97775475974,549.6218706646927,39037.02499662156,26868.97775475974,1.0,50400.0,0.5331146379912647,0.5,0.4967032543030178,-0.003296745696982184,0.15,0.5197412970142209,0.0,0.25,0.0,0.0,0.0,8040.938092225668,0.06831771480815318,5268.099037362495,0.0009269790984215062,,False,True,1.0,False
