step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_before_safety,safety_override,safety_reason,crah_fan_set,crah_t_set,chiller_t_set,q_tes_net_kw_th,tes_set_written
0,0,2024-01-01 00:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.003101099980995059,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
1,1,2024-01-01 00:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012710000155493617,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
2,2,2024-01-01 00:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011534999357536435,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
3,3,2024-01-01 00:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011834000470116735,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
4,4,2024-01-01 01:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011393000604584813,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
5,5,2024-01-01 01:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012889000354334712,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
6,6,2024-01-01 01:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012904999312013388,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
7,7,2024-01-01 01:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011486000148579478,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
8,8,2024-01-01 02:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011132999788969755,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
9,9,2024-01-01 02:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011495000217109919,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
10,10,2024-01-01 02:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011587000917643309,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
11,11,2024-01-01 02:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011366000398993492,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
12,12,2024-01-01 03:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011477000080049038,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
13,13,2024-01-01 03:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011370000429451466,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
14,14,2024-01-01 03:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001221399987116456,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
15,15,2024-01-01 03:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012565000215545297,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
16,16,2024-01-01 04:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001186500070616603,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
17,17,2024-01-01 04:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011761999921873212,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
18,18,2024-01-01 04:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001177600002847612,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
19,19,2024-01-01 04:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.00115130003541708,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
20,20,2024-01-01 05:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0016971000004559755,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
21,21,2024-01-01 05:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013470000121742487,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
22,22,2024-01-01 05:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011560999555513263,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
23,23,2024-01-01 05:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011666999198496342,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
24,24,2024-01-01 06:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012642000801861286,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
25,25,2024-01-01 06:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013009000103920698,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
26,26,2024-01-01 06:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013540000654757023,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
27,27,2024-01-01 06:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013315000105649233,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
28,28,2024-01-01 07:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013011000119149685,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
29,29,2024-01-01 07:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012266000267118216,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
30,30,2024-01-01 07:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013147999998182058,False,,-0.0,False,,0.0,0.0,0.0,0.0,-0.0
