step,simulation_step,timestamp,controller,price_per_kwh,pv_kw,soc,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_before_safety,safety_override,safety_reason,q_tes_net_kw_th
0,0,2024-01-01 00:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0026150000048801303,False,,-0.0,False,,0.0
1,1,2024-01-01 00:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0012107000220566988,False,,-0.0,False,,0.0
2,2,2024-01-01 00:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0013285999884828925,False,,-0.0,False,,0.0
3,3,2024-01-01 00:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011480000102892518,False,,-0.0,False,,0.0
4,4,2024-01-01 01:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010754999238997698,False,,-0.0,False,,0.0
5,5,2024-01-01 01:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001157499966211617,False,,-0.0,False,,0.0
6,6,2024-01-01 01:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001196000026538968,False,,-0.0,False,,0.0
7,7,2024-01-01 01:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0010650999611243606,False,,-0.0,False,,0.0
8,8,2024-01-01 02:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.00108330009970814,False,,-0.0,False,,0.0
9,9,2024-01-01 02:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001143299974501133,False,,-0.0,False,,0.0
10,10,2024-01-01 02:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011199999134987593,False,,-0.0,False,,0.0
11,11,2024-01-01 02:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011762999929487705,False,,-0.0,False,,0.0
12,12,2024-01-01 03:00:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001159600098617375,False,,-0.0,False,,0.0
13,13,2024-01-01 03:15:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011871999595314264,False,,-0.0,False,,0.0
14,14,2024-01-01 03:30:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.001137999934144318,False,,-0.0,False,,0.0
15,15,2024-01-01 03:45:00,mpc,0.029,0.0,1.0,-0.0,0.0,0.0,optimal_relaxed_modes,0.0011995000531896949,False,,-0.0,False,,0.0
